group,regime,bias,policy,chosen_shift,reported_intensity,output_reference_safe,abstention,reference_capacity_selected_partition,reference_best_capacity,partition_selection_loss,operating_point_loss,safe_operating_point_loss,reference_nonmonotone
h102-o300-d120-heterogeneous-slow,prefill,1.0,selected_point_reference,1,2.4888265932,True,False,8.933439346,9.7419846861,0.0829959567944758,0.7445257128405167,0.7445257128405167,False
h102-o300-d120-heterogeneous-slow,prefill,1.0,selected_partition_boundary_reference,1,4.096,True,False,8.933439346,9.7419846861,0.0829959567944758,0.5795517923730439,0.5795517923730439,False
h102-o300-d120-heterogeneous-slow,prefill,0.9,evaluator_only,0,2.8963093757,True,False,9.7419846861,9.7419846861,0.0,0.7026982212533659,0.7026982212533659,False
h102-o300-d120-heterogeneous-slow,prefill,0.9,compute_margin_25pct,,,,True,,9.7419846861,,,1.0,False
h102-o300-d120-heterogeneous-slow,prefill,0.9,capacity_derating_20pct,0,2.2333598365,True,False,9.7419846861,9.7419846861,0.0,0.770748989198619,0.770748989198619,False
h102-o300-d120-heterogeneous-slow,prefill,0.9,four_scenarios,,,,True,,9.7419846861,,,1.0,False
h102-o300-d120-heterogeneous-slow,prefill,0.9,selected_point_reference,0,2.8963093757,True,False,9.7419846861,9.7419846861,0.0,0.7026982212533659,0.7026982212533659,False
h102-o300-d120-heterogeneous-slow,prefill,0.9,selected_partition_boundary_reference,0,7.512097122,True,False,9.7419846861,9.7419846861,0.0,0.22889458728893664,0.22889458728893664,False
h103-o500-d30-heterogeneous-slow,decode,1.0,evaluator_only,-2,0.0083541903,True,False,0.0083541903,0.0083541903,0.0,0.0,0.0,False
h103-o500-d30-heterogeneous-slow,decode,1.0,compute_margin_25pct,,,,True,,0.0083541903,,,1.0,False
h103-o500-d30-heterogeneous-slow,decode,1.0,capacity_derating_20pct,0,0.0056568542,True,False,0.0078285765,0.0083541903,0.06291618710193847,0.3228722357449769,0.3228722357449769,False
h103-o500-d30-heterogeneous-slow,decode,1.0,four_scenarios,,,,True,,0.0083541903,,,1.0,False
h103-o500-d30-heterogeneous-slow,decode,1.0,selected_point_reference,-2,0.0083541903,True,False,0.0083541903,0.0083541903,0.0,0.0,0.0,False
h103-o500-d30-heterogeneous-slow,decode,1.0,selected_partition_boundary_reference,-2,0.0083541903,True,False,0.0083541903,0.0083541903,0.0,0.0,0.0,False
h103-o500-d30-heterogeneous-slow,decode,0.9,evaluator_only,0,0.0087240619,False,False,0.0078285765,0.0083541903,0.06291618710193847,-0.044273781984592864,1.0,False
h103-o500-d30-heterogeneous-slow,decode,0.9,compute_margin_25pct,-2,0.0073360323,True,False,0.0083541903,0.0083541903,0.0,0.12187392954168164,0.12187392954168164,False
h103-o500-d30-heterogeneous-slow,decode,0.9,capacity_derating_20pct,0,0.0067271713,True,False,0.0078285765,0.0083541903,0.06291618710193847,0.19475484057383752,0.19475484057383752,False
h103-o500-d30-heterogeneous-slow,decode,0.9,four_scenarios,-2,0.0073360323,True,False,0.0083541903,0.0083541903,0.0,0.12187392954168164,0.12187392954168164,False
h103-o500-d30-heterogeneous-slow,decode,0.9,selected_point_reference,,,,True,,0.0083541903,,,1.0,False
h103-o500-d30-heterogeneous-slow,decode,0.9,selected_partition_boundary_reference,,,,True,,0.0083541903,,,1.0,False
h103-o500-d30-heterogeneous-slow,prefill,1.0,evaluator_only,2,2.8342474382,True,False,8.5546908256,9.7419846861,0.12187391981780138,0.709068785311894,0.709068785311894,False
h103-o500-d30-heterogeneous-slow,prefill,1.0,compute_margin_25pct,,,,True,,9.7419846861,,,1.0,False
h103-o500-d30-heterogeneous-slow,prefill,1.0,capacity_derating_20pct,0,2.048,True,False,9.7419846861,9.7419846861,0.0,0.789775896186522,0.789775896186522,False
h103-o500-d30-heterogeneous-slow,prefill,1.0,four_scenarios,,,,True,,9.7419846861,,,1.0,False
h103-o500-d30-heterogeneous-slow,prefill,1.0,selected_point_reference,2,2.8342474382,True,False,8.5546908256,9.7419846861,0.12187391981780138,0.709068785311894,0.709068785311894,False
h103-o500-d30-heterogeneous-slow,prefill,1.0,selected_partition_boundary_reference,2,6.8886234338,True,False,8.5546908256,9.7419846861,0.12187391981780138,0.2928932188090191,0.2928932188090191,False
h103-o500-d30-heterogeneous-slow,prefill,0.9,evaluator_only,0,2.8963093757,True,False,9.7419846861,9.7419846861,0.0,0.7026982212533659,0.7026982212533659,False
h103-o500-d30-heterogeneous-slow,prefill,0.9,compute_margin_25pct,0,1.024,True,False,9.7419846861,9.7419846861,0.0,0.894887948093261,0.894887948093261,False
h103-o500-d30-heterogeneous-slow,prefill,0.9,capacity_derating_20pct,0,2.048,True,False,9.7419846861,9.7419846861,0.0,0.789775896186522,0.789775896186522,False
h103-o500-d30-heterogeneous-slow,prefill,0.9,four_scenarios,0,1.024,True,False,9.7419846861,9.7419846861,0.0,0.894887948093261,0.894887948093261,False
h103-o500-d30-heterogeneous-slow,prefill,0.9,selected_point_reference,0,2.8963093757,True,False,9.7419846861,9.7419846861,0.0,0.7026982212533659,0.7026982212533659,False
h103-o500-d30-heterogeneous-slow,prefill,0.9,selected_partition_boundary_reference,0,7.1936088489,True,False,9.7419846861,9.7419846861,0.0,0.26158692702895114,0.26158692702895114,False
h104-o700-d120-heterogeneous-fast,decode,1.0,evaluator_only,-2,0.0035125043,True,False,0.0035125043,0.0035125043,0.0,0.0,0.0,False
h104-o700-d120-heterogeneous-fast,decode,1.0,compute_margin_25pct,,,,True,,0.0035125043,,,1.0,False
h104-o700-d120-heterogeneous-fast,decode,1.0,capacity_derating_20pct,0,0.002,True,False,0.0032915109,0.0035125043,0.06291619344067423,0.4306056792585279,0.4306056792585279,False
h104-o700-d120-heterogeneous-fast,decode,1.0,four_scenarios,,,,True,,0.0035125043,,,1.0,False
h104-o700-d120-heterogeneous-fast,decode,1.0,selected_point_reference,-2,0.0035125043,True,False,0.0035125043,0.0035125043,0.0,0.0,0.0,False
h104-o700-d120-heterogeneous-fast,decode,1.0,selected_partition_boundary_reference,-2,0.0035125043,True,False,0.0035125043,0.0035125043,0.0,0.0,0.0,False
h104-o700-d120-heterogeneous-fast,decode,0.9,evaluator_only,0,0.0036680161,False,False,0.0032915109,0.0035125043,0.06291619344067423,-0.04427376786414183,1.0,False
h104-o700-d120-heterogeneous-fast,decode,0.9,compute_margin_25pct,-2,0.0030844216,True,False,0.0035125043,0.0035125043,0.0,0.12187392909383765,0.12187392909383765,False
h104-o700-d120-heterogeneous-fast,decode,0.9,capacity_derating_20pct,0,0.0028284271,True,False,0.0032915109,0.0035125043,0.06291619344067423,0.19475483631436408,0.19475483631436408,False
h104-o700-d120-heterogeneous-fast,decode,0.9,four_scenarios,-2,0.0030844216,True,False,0.0035125043,0.0035125043,0.0,0.12187392909383765,0.12187392909383765,False
h104-o700-d120-heterogeneous-fast,decode,0.9,selected_point_reference,,,,True,,0.0035125043,,,1.0,False
h104-o700-d120-heterogeneous-fast,decode,0.9,selected_partition_boundary_reference,,,,True,,0.0035125043,,,1.0,False
h104-o700-d120-heterogeneous-fast,prefill,1.0,evaluator_only,2,1.2177480858,True,False,6.0490798938,6.7410144386,0.10264546250455786,0.819352399124529,0.819352399124529,False
h104-o700-d120-heterogeneous-fast,prefill,1.0,compute_margin_25pct,,,,True,,6.7410144386,,,1.0,False
h104-o700-d120-heterogeneous-fast,prefill,1.0,capacity_derating_20pct,0,0.256,True,False,6.7410144386,6.7410144386,0.0,0.9620235200010687,0.9620235200010687,False
h104-o700-d120-heterogeneous-fast,prefill,1.0,four_scenarios,,,,True,,6.7410144386,,,1.0,False
h104-o700-d120-heterogeneous-fast,prefill,1.0,selected_point_reference,2,1.2177480858,True,False,6.0490798938,6.7410144386,0.10264546250455786,0.819352399124529,0.819352399124529,False
h104-o700-d120-heterogeneous-fast,prefill,1.0,selected_partition_boundary_reference,2,1.4481546879,True,False,6.0490798938,6.7410144386,0.10264546250455786,0.78517258773284,0.78517258773284,False
h104-o700-d120-heterogeneous-fast,prefill,0.9,evaluator_only,0,1.4481546879,True,False,6.7410144386,6.7410144386,0.0,0.78517258773284,0.78517258773284,False
h104-o700-d120-heterogeneous-fast,prefill,0.9,compute_margin_25pct,0,1.024,True,False,6.7410144386,6.7410144386,0.0,0.8480940800042748,0.8480940800042748,False
h104-o700-d120-heterogeneous-fast,prefill,0.9,capacity_derating_20pct,0,1.1166799183,True,False,6.7410144386,6.7410144386,0.0,0.8343454195994993,0.8343454195994993,False
h104-o700-d120-heterogeneous-fast,prefill,0.9,four_scenarios,0,1.024,True,False,6.7410144386,6.7410144386,0.0,0.8480940800042748,0.8480940800042748,False
h104-o700-d120-heterogeneous-fast,prefill,0.9,selected_point_reference,0,1.4481546879,True,False,6.7410144386,6.7410144386,0.0,0.78517258773284,0.78517258773284,False
h104-o700-d120-heterogeneous-fast,prefill,0.9,selected_partition_boundary_reference,0,5.3118548159,True,False,6.7410144386,6.7410144386,0.0,0.21200957744822946,0.21200957744822946,False
h105-o900-d30-heterogeneous-fast,decode,1.0,evaluator_only,-2,0.0091103091,True,False,0.0091103091,0.0091103091,0.0,0.0,0.0,False
h105-o900-d30-heterogeneous-fast,decode,1.0,compute_margin_25pct,0,0.004,True,False,0.0085371232,0.0091103091,0.06291618579659386,0.5609369609643651,0.5609369609643651,False
