grid_version,workload,band,g0_min,g0_max,metric,scheduled_points,pairable_points,E_status_counts,R_status_counts,pairable_coverage,coverage_na_reason,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,valid_workloads,valid_candidates,valid_points,valid_requests,inapplicable_or_small_reference_requests,weighting
G1,h101,low,0.001,65.536,TTFT,145,145,"{""complete"":145}","{""complete"":145}",1.0,,-0.03415729624816777,0.051560409196794055,0.12779977299805978,0.1917925795118549,-0.021228094207908665,0.059293868079077716,-0.11757425126052112,0.2291323065450115,,1,5,145,2320,0,equal workload/candidate/point/request
G1,h101,low,0.001,65.536,TPOT,145,145,"{""complete"":145}","{""complete"":145}",1.0,,-5.899360190395053e-05,5.899360263467157e-05,0.000291805338270279,0.0006205049993868728,3.653794382359726e-05,0.00013713581178241037,-0.0008481654734228961,0.0041245071965216595,,1,5,145,2320,0,equal workload/candidate/point/request
G1,h101,middle,0.001,65.536,TTFT,60,60,"{""complete"":60}","{""complete"":60}",1.0,,0.20060970534731837,0.2006466650181551,1.5045133820931413,3.6682163893128568,0.6699817349702275,0.6800670594606117,-0.29688984073384894,8.52408141594642,,1,5,60,960,0,equal workload/candidate/point/request
G1,h101,middle,0.001,65.536,TPOT,60,60,"{""complete"":60}","{""complete"":60}",1.0,,-0.0006630381151670472,0.012168417410721777,0.048273340010167365,0.05862727128974843,-0.011159351869236696,0.019163648289874626,-0.11300532596046003,0.05836700574997861,,1,5,60,960,0,equal workload/candidate/point/request
G1,h101,high,0.001,65.536,TTFT,200,0,"{""unsupported_profile_domain"":200}","{""complete"":200}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,high,0.001,65.536,TPOT,200,0,"{""unsupported_profile_domain"":200}","{""complete"":200}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,low,0.001,65.536,TTFT,130,130,"{""complete"":130}","{""complete"":130}",1.0,,-0.05725638787737353,0.059676503247828805,0.09544698892386805,0.16405403750013647,-0.027470937153077597,0.05448191385788342,-0.11291904128302122,0.2351729150632309,,1,5,130,7020,0,equal workload/candidate/point/request
G1,h102,low,0.001,65.536,TPOT,130,130,"{""complete"":130}","{""complete"":130}",1.0,,-5.902721386519261e-05,5.9027215513651754e-05,0.0001175155732694444,0.0005376854224528604,2.443625200238549e-05,0.00012937299093309596,-0.0020091791385799807,0.018349024993374347,,1,5,130,7020,0,equal workload/candidate/point/request
G1,h102,middle,0.001,65.536,TTFT,70,50,"{""complete"":50,""unsupported_profile_domain"":20}","{""complete"":70}",0.7142857142857143,,0.19727311825840843,0.1973993211535543,1.2373372753149567,4.833070521587533,0.826227832216697,0.8344216033329633,-0.22729519900894957,18.69895966350211,,1,5,50,2700,0,equal workload/candidate/point/request
G1,h102,middle,0.001,65.536,TPOT,70,50,"{""complete"":50,""unsupported_profile_domain"":20}","{""complete"":70}",0.7142857142857143,,0.000307974397473626,0.01255238581758622,0.0554536652865526,0.06928410655939904,0.0030433570023979976,0.0352754250398937,-0.24626525626320206,2.3493683838872585,,1,5,50,2700,0,equal workload/candidate/point/request
G1,h102,high,0.001,65.536,TTFT,215,0,"{""unsupported_profile_domain"":215}","{""complete"":215}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,high,0.001,65.536,TPOT,215,0,"{""unsupported_profile_domain"":215}","{""complete"":215}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,low,0.001,65.536,TTFT,85,85,"{""complete"":85}","{""complete"":85}",1.0,,-0.05967650324191709,0.06357229870809533,0.1048323143440939,0.1672075412666345,-0.030563663491170845,0.06532494145596365,-0.10483231434773188,0.22974241227217362,,1,5,85,1275,0,equal workload/candidate/point/request
G1,h103,low,0.001,65.536,TPOT,85,85,"{""complete"":85}","{""complete"":85}",1.0,,-5.90272025252081e-05,5.902720289469032e-05,0.00030797439536911497,0.0006105818349612935,2.5782615303246513e-05,0.0001256640805310197,-5.902723119910469e-05,0.002128933118405868,,1,5,85,1275,0,equal workload/candidate/point/request
G1,h103,middle,0.001,65.536,TTFT,90,85,"{""complete"":85,""unsupported_profile_domain"":5}","{""complete"":90}",0.9444444444444444,,1.8589975625999742,1.8589975625999742,14.924233184855957,16.534321116831936,5.056829108813456,5.0647142173509625,-0.07461038585596746,22.63690421704335,,1,5,85,1275,0,equal workload/candidate/point/request
G1,h103,middle,0.001,65.536,TPOT,90,85,"{""complete"":85,""unsupported_profile_domain"":5}","{""complete"":90}",0.9444444444444444,,-0.022305451682373023,0.023262937456405397,0.10923042450044596,0.12962060987378765,-0.03533307358491649,0.04029317835146565,-0.21288967937973996,0.046180762720730684,,1,5,85,1275,0,equal workload/candidate/point/request
G1,h103,high,0.001,65.536,TTFT,205,0,"{""unsupported_profile_domain"":205}","{""complete"":205}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,high,0.001,65.536,TPOT,205,0,"{""unsupported_profile_domain"":205}","{""complete"":205}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h104,low,0.001,65.536,TTFT,80,80,"{""complete"":80}","{""complete"":80}",1.0,,-0.025544230176819838,0.05781373113859445,0.11220583327940403,0.17099996153683605,-0.02200954140280332,0.05427313864512062,-0.11220583335671108,0.23462375666804292,,1,5,80,6480,0,equal workload/candidate/point/request
G1,h104,low,0.001,65.536,TPOT,80,80,"{""complete"":80}","{""complete"":80}",1.0,,-5.899361600619768e-05,5.899361917993673e-05,5.899363716865835e-05,0.000691568316442015,6.241382700623683e-05,0.0001656662544998162,-5.8993637305160274e-05,0.011974010334322688,,1,5,80,6480,0,equal workload/candidate/point/request
G1,h104,middle,0.001,65.536,TTFT,105,60,"{""complete"":60,""unsupported_profile_domain"":45}","{""complete"":105}",0.5714285714285714,,0.1969504810028866,0.19773432339081864,0.4239781121175952,0.7940573547760579,0.29760142728069156,0.3046691110188374,-0.7032892927994112,6.892311539450844,,1,5,60,4860,0,equal workload/candidate/point/request
G1,h104,middle,0.001,65.536,TPOT,105,60,"{""complete"":60,""unsupported_profile_domain"":45}","{""complete"":105}",0.5714285714285714,,-0.019497291258251004,0.02461068562626284,0.06420886485158633,0.07549173985292479,-0.01885826491564218,0.03068508552332038,-0.29711753240619293,0.25258277758997094,,1,5,60,4860,0,equal workload/candidate/point/request
G1,h104,high,0.001,65.536,TTFT,105,0,"{""unsupported_profile_domain"":105}","{""complete"":105}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h104,high,0.001,65.536,TPOT,105,0,"{""unsupported_profile_domain"":105}","{""complete"":105}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h105,low,0.001,65.536,TTFT,100,100,"{""complete"":100}","{""complete"":100}",1.0,,-0.05970152643838844,0.060409449688904715,0.1496171982521446,0.17521719825344917,-0.021330390924768933,0.06285634624766488,-0.07751759471284458,0.22624666501820911,,1,5,100,1400,0,equal workload/candidate/point/request
G1,h105,low,0.001,65.536,TPOT,100,100,"{""complete"":100}","{""complete"":100}",1.0,,-5.899360210934179e-05,5.899360283556643e-05,0.0003579043641890045,0.0006610808375272226,3.095012701118937e-05,0.00012805955059773814,-5.89936372467903e-05,0.0015699931935494182,,1,5,100,1400,0,equal workload/candidate/point/request
G1,h105,middle,0.001,65.536,TTFT,65,65,"{""complete"":65}","{""complete"":65}",1.0,,0.18515120144942898,0.18515120144942898,1.5997987067644708,7.426015873467493,0.9391736984429785,0.948196184770755,-0.06058643048723411,13.51850606671042,,1,5,65,910,0,equal workload/candidate/point/request
G1,h105,middle,0.001,65.536,TPOT,65,65,"{""complete"":65}","{""complete"":65}",1.0,,0.0007271495069287037,0.010273961542525079,0.04379622712358244,0.05728488760973027,-0.009987724256899333,0.019332238581495683,-0.29183678447315353,0.09622779119863867,,1,5,65,910,0,equal workload/candidate/point/request
G1,h105,high,0.001,65.536,TTFT,230,0,"{""unsupported_profile_domain"":230}","{""complete"":230}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h105,high,0.001,65.536,TPOT,230,0,"{""unsupported_profile_domain"":230}","{""complete"":230}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h106,low,6.25e-05,65.536,TTFT,20,20,"{""complete"":20}","{""complete"":20}",1.0,,-0.0588501224101492,0.05885012240469223,0.06917988136410713,0.07756174614405609,-0.04565332598571117,0.04565332598571117,-0.120474525494501,-0.0004722150042653084,,1,5,20,980,0,equal workload/candidate/point/request
G1,h106,low,6.25e-05,65.536,TPOT,20,20,"{""complete"":20}","{""complete"":20}",1.0,,-5.9027215453616444e-05,5.9027215448398396e-05,5.9027880451617554e-05,5.902850754418987e-05,-5.90271786046315e-05,5.90271786046315e-05,-5.902913399041809e-05,-5.9026227487879446e-05,,1,5,20,980,0,equal workload/candidate/point/request
G1,h106,middle,6.25e-05,65.536,TTFT,185,185,"{""complete"":185}","{""complete"":185}",1.0,,0.16475219623185922,0.16476236394169064,0.22944062598647008,0.39513866711676826,0.18106765713718584,0.2069438285931678,-0.23309653527005025,4.136621115100276,,1,5,185,9065,0,equal workload/candidate/point/request
G1,h106,middle,6.25e-05,65.536,TPOT,185,185,"{""complete"":185}","{""complete"":185}",1.0,,-5.9027202313960414e-05,0.006283193387419672,0.04942728215106923,0.059555611617163995,-0.008089425745555955,0.01608722394810538,-0.1389062709427219,0.1715658744287597,,1,5,185,9065,0,equal workload/candidate/point/request
G1,h106,high,6.25e-05,65.536,TTFT,140,10,"{""complete"":10,""unsupported_profile_domain"":130}","{""complete"":140}",0.07142857142857142,,1.435263217896221,1.435263217896221,7.990430384424464,8.903166972263975,2.655033125151833,2.6576513875012275,-0.19003856987072254,14.310989361671375,,1,5,10,490,0,equal workload/candidate/point/request
G1,h106,high,6.25e-05,65.536,TPOT,140,10,"{""complete"":10,""unsupported_profile_domain"":130}","{""complete"":140}",0.07142857142857142,,-0.014109549392155363,0.03566954223063967,0.1734695790186891,0.22418213850781532,0.0403152068292004,0.07886933183205755,-0.09803689186047904,1.1747441173711288,,1,5,10,490,0,equal workload/candidate/point/request
G1,w201,low,0.001,65.536,TTFT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-0.06188428975679017,0.06194328335823229,0.09857831094717984,0.18876390869581883,-0.02755507847682559,0.06093419183282192,-0.09857831094717984,0.21379901475029328,,1,5,40,520,0,equal workload/candidate/point/request
G1,w201,low,0.001,65.536,TPOT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-5.899360211755744e-05,5.89936030619409e-05,5.899363557462789e-05,0.0007210609483392361,3.5290018568676086e-05,0.0001363943556747933,-5.899363718209205e-05,0.006271744782119809,,1,5,40,520,0,equal workload/candidate/point/request
G1,w201,middle,0.001,65.536,TTFT,65,65,"{""complete"":65}","{""complete"":65}",1.0,,0.1990522258365388,0.1990522258365388,2.4280374367523,3.7682390639985512,0.7376907344572904,0.7547199885313453,-0.09857831094717984,7.800945973625167,,1,5,65,845,0,equal workload/candidate/point/request
G1,w201,middle,0.001,65.536,TPOT,65,65,"{""complete"":65}","{""complete"":65}",1.0,,0.0018458008590485353,0.008216257596634385,0.03771678549564006,0.04943494036664264,-0.0003942199761986091,0.014065466525663067,-0.11589610153718916,0.17309690647592352,,1,5,65,845,0,equal workload/candidate/point/request
G1,w201,high,0.001,65.536,TTFT,50,5,"{""complete"":5,""unsupported_profile_domain"":45}","{""complete"":50}",0.1,,12.894895694342043,12.894895694342043,18.153339124493442,18.369367147711664,13.143681927236544,13.143681927236544,8.353470696844214,18.581922001769897,,1,5,5,65,0,equal workload/candidate/point/request
G1,w201,high,0.001,65.536,TPOT,50,5,"{""complete"":5,""unsupported_profile_domain"":45}","{""complete"":50}",0.1,,-0.03779379344207495,0.03779379344207495,0.1463151955381946,0.3127799210857697,-0.0761268493083147,0.07615146339563557,-0.3309550446251588,0.00048340936020491165,,1,5,5,65,0,equal workload/candidate/point/request
G1,w202,low,0.001,65.536,TTFT,45,45,"{""complete"":45}","{""complete"":45}",1.0,,-0.05814179594108282,0.060148720960569335,0.1105579531085823,0.15641446620364263,-0.036080265311630104,0.059316495747549436,-0.11764121764281299,0.21935362437420736,,1,5,45,2160,0,equal workload/candidate/point/request
G1,w202,low,0.001,65.536,TPOT,45,45,"{""complete"":45}","{""complete"":45}",1.0,,-5.902721386519261e-05,5.902721550077317e-05,0.00011214718699992243,0.0004974545680128395,1.7465690367691738e-05,0.00012217885307553138,-5.902723122014342e-05,0.007912080994336657,,1,5,45,2160,0,equal workload/candidate/point/request
