group,workload,sla,ttft_s,tpot_s,variant,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores,best_set_overlap,incomplete_reference,mismatch_type,reference_best_capacity,selected_partition_reference_capacity,evaluator_recommended_intensity,partition_selection_loss,operating_point_loss,allocation_component,exact_reference_safe,safe_usable_load,safe_operating_point_loss,recommendation_violations,reference_nonmonotone,evaluator_nonmonotone,reference_no_safe_candidates,evaluator_no_safe_candidates,unresolved
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0097219789,""-1"":0.0095136569,""0"":0.0093097989,""1"":0.0091103091,""2"":0.0087240619}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0097219789,0.0,0.02142793621955008,0.021427936219550078,True,0.0097219789,0.02142793621955008,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.341628999973182,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0097219789,""-1"":0.0095136569,""0"":0.0093097989,""1"":0.0091103091,""2"":0.0087240619}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0097219789,0.0,0.02142793621955008,0.021427936219550078,True,0.0097219789,0.02142793621955008,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.341628999973182,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Full,-2,[-2],"[0,1,2]",4,0.002233312099999999,0.9170040425572186,False,False,-0.8660254037844386,0.0,"{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0246753732,""-1"":0.0246753732,""0"":0.0269086853,""1"":0.0269086853,""2"":0.0269086853}",[],False,strict best-set mismatch,0.0269086853,0.0246753732,0.0099348625,0.08299595744278143,0.6307934635513389,0.5477975061085575,True,0.0099348625,0.6307934635513389,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.09224050003104,""violation_type"":null}",True,False,[],[],True
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Remaining,-2,[-2],"[0,1,2]",4,0.002233312099999999,0.9170040425572186,False,False,-0.8660254037844386,0.0,"{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0246753732,""-1"":0.0246753732,""0"":0.0269086853,""1"":0.0269086853,""2"":0.0269086853}",[],False,strict best-set mismatch,0.0269086853,0.0246753732,0.0099348625,0.08299595744278143,0.6307934635513389,0.5477975061085575,True,0.0099348625,0.6307934635513389,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.09224050003104,""violation_type"":null}",True,False,[],[],True
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Full,-2,[-2],"[0,1,2]",4,0.002233312099999999,0.9170040425572186,False,False,-0.8660254037844386,0.0,"{""-2"":0.0097219789,""-1"":0.0095136569,""0"":0.0093097989,""1"":0.0091103091,""2"":0.0087240619}","{""-2"":0.0246753732,""-1"":0.0246753732,""0"":0.0269086853,""1"":0.0269086853,""2"":0.0269086853}",[],False,strict best-set mismatch,0.0269086853,0.0246753732,0.0097219789,0.08299595744278143,0.6387047976662018,0.5557088402234204,True,0.0097219789,0.6387047976662018,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.341628999973182,""violation_type"":null}",True,False,[],[],True
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Remaining,-2,[-2],"[0,1,2]",4,0.002233312099999999,0.9170040425572186,False,False,-0.8660254037844386,0.0,"{""-2"":0.0097219789,""-1"":0.0095136569,""0"":0.0093097989,""1"":0.0091103091,""2"":0.0087240619}","{""-2"":0.0246753732,""-1"":0.0246753732,""0"":0.0269086853,""1"":0.0269086853,""2"":0.0269086853}",[],False,strict best-set mismatch,0.0269086853,0.0246753732,0.0097219789,0.08299595744278143,0.6387047976662018,0.5557088402234204,True,0.0097219789,0.6387047976662018,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.341628999973182,""violation_type"":null}",True,False,[],[],True
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,1.3542156285999987,"{""-2"":0.663981852,""-1"":0.663981852,""0"":0.663981852,""1"":0.663981852,""2"":0.663981852}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",[0],False,agreement,13.1931367994,13.1931367994,0.663981852,0.0,0.9496721771254433,0.9496721771254432,True,0.663981852,0.9496721771254433,"{""safe"":true,""max_ttft_s"":4.579256622072561,""max_native_ttft_s"":5.381644119962146,""max_tpot_s"":4.589767385603243,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.347372700052802,""violation_type"":null}",False,False,[],[],True
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,1.3542156285999987,"{""-2"":1.024,""-1"":1.024,""0"":1.024,""1"":1.024,""2"":1.024}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",[0],False,agreement,13.1931367994,13.1931367994,1.024,0.0,0.9223838867458292,0.9223838867458292,True,1.024,0.9223838867458292,"{""safe"":true,""max_ttft_s"":4.550917935311628,""max_native_ttft_s"":5.383883026524829,""max_tpot_s"":4.609911270403239,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":9.545197599974927,""violation_type"":null}",False,False,[],[],True
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,1.3542156285999987,"{""-2"":0.663981852,""-1"":0.663981852,""0"":0.663981852,""1"":0.663981852,""2"":0.663981852}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",[0],False,agreement,13.1931367994,13.1931367994,0.663981852,0.0,0.9496721771254433,0.9496721771254432,True,0.663981852,0.9496721771254433,"{""safe"":true,""max_ttft_s"":4.579256622072561,""max_native_ttft_s"":5.381644119962146,""max_tpot_s"":4.589767385603243,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.347372700052802,""violation_type"":null}",False,False,[],[],True
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,1.3542156285999987,"{""-2"":1.024,""-1"":1.024,""0"":1.024,""1"":1.024,""2"":1.024}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",[0],False,agreement,13.1931367994,13.1931367994,1.024,0.0,0.9223838867458292,0.9223838867458292,True,1.024,0.9223838867458292,"{""safe"":true,""max_ttft_s"":4.550917935311628,""max_native_ttft_s"":5.383883026524829,""max_tpot_s"":4.609911270403239,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":9.545197599974927,""violation_type"":null}",False,False,[],[],True
