group,shift,intensity,sla,variant,runtime_s,events
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT0.3,Raw-Full,0.006620300002396107,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT1.2,Raw-Remaining,0.006548300036229193,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT1.2,Legacy-Full,0.006278100016061217,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006447100022342056,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT1.2,Raw-Full,0.006609899981413037,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT5,Raw-Remaining,0.006428499997127801,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT5,Legacy-Full,0.0065534000168554485,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT5,Legacy-Remaining,0.006360900006256998,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT5,Raw-Full,0.006843400013167411,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT10,Raw-Remaining,0.006438300013542175,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT10,Legacy-Full,0.006429099943488836,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT10,Legacy-Remaining,0.006427400046959519,222
w201-heterogeneous-fast,1,0.001,TTFT5.2_TPOT10,Raw-Full,0.00629540003137663,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT0.3,Legacy-Full,0.0070192000130191445,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT0.3,Legacy-Remaining,0.006482400000095367,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT0.3,Raw-Full,0.006855899991933256,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT0.3,Raw-Remaining,0.006580099987331778,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT1.2,Legacy-Full,0.007196700025815517,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006325199967250228,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT1.2,Raw-Full,0.006275499996263534,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT1.2,Raw-Remaining,0.006414200004655868,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT5,Legacy-Full,0.006149800028651953,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT5,Legacy-Remaining,0.006871399993542582,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT5,Raw-Full,0.0063637999701313674,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT5,Raw-Remaining,0.006375500001013279,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT10,Legacy-Full,0.006350100040435791,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT10,Legacy-Remaining,0.006387499975971878,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT10,Raw-Full,0.00653539999620989,222
w201-heterogeneous-fast,2,0.001,TTFT5.2_TPOT10,Raw-Remaining,0.006367699999827892,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT0.3,Legacy-Remaining,0.006460099946707487,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT0.3,Raw-Full,0.006162700010463595,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT0.3,Raw-Remaining,0.006779499992262572,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT0.3,Legacy-Full,0.006327699986286461,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT1.2,Legacy-Remaining,0.007096699962858111,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT1.2,Raw-Full,0.006393500021658838,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT1.2,Raw-Remaining,0.006371700030285865,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT1.2,Legacy-Full,0.0061250000144355,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT5,Legacy-Remaining,0.006289699987974018,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT5,Raw-Full,0.00655009999172762,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT5,Raw-Remaining,0.006326499977149069,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT5,Legacy-Full,0.006488900049589574,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT10,Legacy-Remaining,0.0061873000231571496,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT10,Raw-Full,0.006430800014641136,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT10,Raw-Remaining,0.0062476000166498125,222
w201-heterogeneous-fast,-2,0.004,TTFT5.2_TPOT10,Legacy-Full,0.006189299980178475,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT0.3,Raw-Full,0.006626199989113957,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT0.3,Raw-Remaining,0.00624779995996505,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT0.3,Legacy-Full,0.006471100030466914,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT0.3,Legacy-Remaining,0.006181899982038885,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT1.2,Raw-Full,0.006203900033142418,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT1.2,Raw-Remaining,0.006240400020033121,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT1.2,Legacy-Full,0.006205900048371404,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006676899967715144,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT5,Raw-Full,0.00644650001777336,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT5,Raw-Remaining,0.006590900011360645,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT5,Legacy-Full,0.006364100030623376,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT5,Legacy-Remaining,0.006603300047572702,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT10,Raw-Full,0.006237299996428192,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT10,Raw-Remaining,0.006589399999938905,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT10,Legacy-Full,0.006289699987974018,222
w201-heterogeneous-fast,-1,0.004,TTFT5.2_TPOT10,Legacy-Remaining,0.006328099989332259,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT0.3,Raw-Remaining,0.0063670999952591956,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT0.3,Legacy-Full,0.006252999999560416,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT0.3,Legacy-Remaining,0.00683460000436753,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT0.3,Raw-Full,0.00640499999281019,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT1.2,Raw-Remaining,0.006504900055006146,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT1.2,Legacy-Full,0.0062392999534495175,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006364199973177165,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT1.2,Raw-Full,0.0062135999905876815,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT5,Raw-Remaining,0.006266800046432763,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT5,Legacy-Full,0.006650800001807511,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT5,Legacy-Remaining,0.006480100040789694,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT5,Raw-Full,0.006390900001861155,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT10,Raw-Remaining,0.006165200029499829,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT10,Legacy-Full,0.0063307000091299415,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT10,Legacy-Remaining,0.006330800009891391,222
w201-heterogeneous-fast,0,0.004,TTFT5.2_TPOT10,Raw-Full,0.006193899956997484,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT0.3,Legacy-Full,0.006325399968773127,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT0.3,Legacy-Remaining,0.006230300001334399,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT0.3,Raw-Full,0.0066630999790504575,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT0.3,Raw-Remaining,0.006300599954556674,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT1.2,Legacy-Full,0.006376000004820526,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006300800014287233,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT1.2,Raw-Full,0.006181899982038885,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT1.2,Raw-Remaining,0.006511299987323582,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT5,Legacy-Full,0.006639099970925599,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT5,Legacy-Remaining,0.006618799990974367,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT5,Raw-Full,0.006185900012496859,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT5,Raw-Remaining,0.006306700001005083,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT10,Legacy-Full,0.006384999956935644,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT10,Legacy-Remaining,0.006219600036274642,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT10,Raw-Full,0.006550499994773418,222
w201-heterogeneous-fast,1,0.004,TTFT5.2_TPOT10,Raw-Remaining,0.006171100016217679,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT0.3,Legacy-Remaining,0.006373999989591539,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT0.3,Raw-Full,0.006668600020930171,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT0.3,Raw-Remaining,0.006361900013871491,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT0.3,Legacy-Full,0.006218399968929589,222
