group,workload,sla,ttft_s,tpot_s,variant,both_safe,both_unsafe,optimistic,conservative,paired_denominator,missing
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,98,284,0,3,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Full,101,283,1,0,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Remaining,101,283,1,0,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Full,98,284,0,3,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Remaining,98,284,0,3,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,135,101,0,149,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,145,101,0,139,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,135,101,0,149,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,145,101,0,139,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT10,5.2,10.0,Raw-Full,196,54,0,135,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT10,5.2,10.0,Raw-Remaining,210,54,0,121,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT10,5.2,10.0,Legacy-Full,194,54,0,137,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT10,5.2,10.0,Legacy-Remaining,210,54,0,121,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT4.68_TPOT1.2,4.68,1.2,Raw-Full,0,385,0,0,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT4.68_TPOT1.2,4.68,1.2,Raw-Remaining,0,385,0,0,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT4.68_TPOT1.2,4.68,1.2,Legacy-Full,0,385,0,0,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT4.68_TPOT1.2,4.68,1.2,Legacy-Remaining,0,385,0,0,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT4.68_TPOT10,4.68,10.0,Raw-Full,0,385,0,0,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT4.68_TPOT10,4.68,10.0,Raw-Remaining,0,385,0,0,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT4.68_TPOT10,4.68,10.0,Legacy-Full,0,385,0,0,385,0
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT4.68_TPOT10,4.68,10.0,Legacy-Remaining,0,385,0,0,385,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Full,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Remaining,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Full,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Remaining,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Full,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Remaining,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Full,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Remaining,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,117,53,0,180,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,141,53,0,156,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,116,53,0,181,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,141,53,0,156,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT10,5.2,10.0,Raw-Full,195,53,0,102,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT10,5.2,10.0,Raw-Remaining,195,53,0,102,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT10,5.2,10.0,Legacy-Full,195,53,0,102,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT5.2_TPOT10,5.2,10.0,Legacy-Remaining,195,53,0,102,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT4.68_TPOT1.2,4.68,1.2,Raw-Full,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT4.68_TPOT1.2,4.68,1.2,Raw-Remaining,41,308,1,0,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT4.68_TPOT1.2,4.68,1.2,Legacy-Full,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT4.68_TPOT1.2,4.68,1.2,Legacy-Remaining,37,309,0,4,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT4.68_TPOT10,4.68,10.0,Raw-Full,136,98,0,116,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT4.68_TPOT10,4.68,10.0,Raw-Remaining,136,98,0,116,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT4.68_TPOT10,4.68,10.0,Legacy-Full,135,98,0,117,350,0
h103-o500-d30-heterogeneous-slow,h103-o500-d30,TTFT4.68_TPOT10,4.68,10.0,Legacy-Remaining,135,98,0,117,350,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Full,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Remaining,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Full,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Remaining,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Full,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Remaining,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Full,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Remaining,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,92,40,0,128,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,110,40,0,110,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,92,40,0,128,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,110,40,0,110,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT10,5.2,10.0,Raw-Full,130,40,0,90,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT10,5.2,10.0,Raw-Remaining,160,40,0,60,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT10,5.2,10.0,Legacy-Full,128,40,0,92,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT5.2_TPOT10,5.2,10.0,Legacy-Remaining,160,40,0,60,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT4.68_TPOT1.2,4.68,1.2,Raw-Full,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT4.68_TPOT1.2,4.68,1.2,Raw-Remaining,36,224,0,0,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT4.68_TPOT1.2,4.68,1.2,Legacy-Full,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT4.68_TPOT1.2,4.68,1.2,Legacy-Remaining,31,224,0,5,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT4.68_TPOT10,4.68,10.0,Raw-Full,130,55,0,75,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT4.68_TPOT10,4.68,10.0,Raw-Remaining,160,55,0,45,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT4.68_TPOT10,4.68,10.0,Legacy-Full,128,55,0,77,260,0
h104-o700-d120-heterogeneous-fast,h104-o700-d120,TTFT4.68_TPOT10,4.68,10.0,Legacy-Remaining,160,55,0,45,260,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,45,320,0,0,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,45,320,0,0,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,40,320,0,5,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,40,320,0,5,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Full,45,320,0,0,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Remaining,45,320,0,0,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Full,40,320,0,5,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Remaining,40,320,0,5,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,45,320,0,0,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,45,320,0,0,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,40,320,0,5,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,40,320,0,5,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Full,45,259,0,61,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Remaining,45,259,0,61,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Full,40,259,0,66,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Remaining,40,259,0,66,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,130,58,0,177,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,140,58,0,167,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,130,58,0,177,365,0
