group,workload,sla,ttft_s,tpot_s,variant,both_safe,both_unsafe,optimistic,conservative,paired_denominator,missing
w203-heterogeneous-slow,w203,TTFT5.2_TPOT10,5.2,10.0,Legacy-Full,125,0,0,0,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT10,5.2,10.0,Legacy-Remaining,125,0,0,0,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,21,104,0,0,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,21,104,0,0,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,21,104,0,0,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,21,104,0,0,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,21,104,0,0,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,21,104,0,0,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,21,104,0,0,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,21,104,0,0,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,55,16,0,54,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,70,16,0,39,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,55,16,0,54,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,70,16,0,39,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT10,5.2,10.0,Raw-Full,85,16,0,24,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT10,5.2,10.0,Raw-Remaining,99,16,0,10,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT10,5.2,10.0,Legacy-Full,85,16,0,24,125,0
w204-heterogeneous-fast,w204,TTFT5.2_TPOT10,5.2,10.0,Legacy-Remaining,99,16,0,10,125,0
