grid_version,workload,SLA,candidate,L,physical_id,abstention,recommendation_under_incomplete_coverage,A_R,J_R,N,K,safe_R,reference_status,ttft_fail,tpot_fail,both_fail,joint_fail,joint_fail_fraction,ttft_fail_fraction,tpot_fail_over_N,attainment_shortfall,excess_fail_count,B,U,arithmetic_loss,safe_usable_loss,loss_na_reason,actual_na_reason,candidate_loss,load_selection_loss,N_D,tpot_fail_fraction,tpot_fraction_na_reason
G0,w202,S5,0,0.181019336,8f581d3ef88caab03f2e51dfb12c0c8b3a3ccc8f582f8b5be97d36e58bb4bf5b,,True,0.9166666666666666,44,48,44,True,classified,1,4,1,4,0.08333333333333333,0.020833333333333332,0.08333333333333333,0,0,0.181019336,0.181019336,0.0,0.0,,,0.0,0.0,48,0.08333333333333333,
G0,w202,S6,0,0.256,6b502ea11d6f8100fe4398ef06250cbc5c25e3dc5634ef157d7f756ab1c5cac2,,True,1.0,48,48,44,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,0.512,0.256,0.5,0.5,,,0.29289321874999996,0.20710678125,48,0.0,
G0,w203,S1,,0,,abstain_no_safe,False,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,w203,S2,,0,,abstain_no_safe,False,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,w203,S3,,0,,abstain_no_safe,False,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,w203,S4,0,0.256,c225d9f3ca5f471e09abb1d56738bd9214ed2baf7bfd7d9c71fbf14a6f7ca55a,,False,1.0,5,5,5,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,65.536,0.256,0.99609375,0.99609375,,,0.0,0.99609375,5,0.0,
G0,w203,S5,0,2.048,aa2026f935ade2b01d6e0d24b910091b09f3dbe09578f6af8821969ce9e208f8,,False,1.0,5,5,5,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,65.536,2.048,0.96875,0.96875,,,0.0,0.96875,5,0.0,
G0,w203,S6,0,2.048,aa2026f935ade2b01d6e0d24b910091b09f3dbe09578f6af8821969ce9e208f8,,False,1.0,5,5,5,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,65.536,2.048,0.96875,0.96875,,,0.0,0.96875,5,0.0,
G0,w204,S1,,0,,abstain_unknown,True,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,w204,S2,,0,,abstain_unknown,True,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,w204,S3,,0,,abstain_unknown,True,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,w204,S4,0,0.064,90b0bfc48552e935e0e775abde1acdf68cbed8c8c5e860ef4978fca0e30648c3,,True,1.0,44,44,40,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,0.064,0.064,0.0,0.0,,,0.0,0.0,44,0.0,
G0,w204,S5,-2,0.256,8acbdc8599ee98ce7236988d9cdb6de108e5f7abdde63bf80cbe5c7ef290de10,,True,0.9318181818181818,41,44,40,True,classified,0,3,0,3,0.06818181818181818,0.0,0.06818181818181818,0,0,0.256,0.256,0.0,0.0,,,0.0,0.0,44,0.06818181818181818,
G0,w204,S6,0,0.362038672,89c4d108cab3d47abde4a0b4096624cd22faf5256c841b7d3d86d382a7b52298,,True,1.0,44,44,40,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,0.512,0.362038672,0.29289321874999996,0.29289321874999996,,,0.0,0.29289321875,44,0.0,
