case_id,group,role,workload,duration_s,interval_offset,seed,kind,shift,regime,link,ttft_s,tpot_s,intensity,status,evaluator_safe,reference_safe,evaluator_first_violation,evaluator_all_first_violations,evaluator_drained,evaluator_runtime_s,reference_cache_key,reference_access_wall_s,reference_was_cached,workload_fingerprint,scaled_workload_fingerprint,partition_fingerprint,profile_fingerprint,baseline_sha256,attempts,reference_max_ttft_s,reference_max_native_ttft_s,reference_max_tpot_s,reference_violating_requests,reference_request_count,reference_violating_request_fraction,reference_max_ttft_excess_s,reference_max_tpot_excess_s,reference_max_normalized_excess,reference_drained,reference_runtime_s,execution_host,reference_runtime_origin,disagreement
h101-o60-d30-heterogeneous-fast-decode-shift-2,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,-2,decode,fast,5.2,0.3,0.004,ok,True,True,,[],True,0.018996041966602206,95f0d49f34306e31f8e97ec29bdd5213585fc8a6963aeb728ad42d9530edda00,26.72812166699441,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,1e2d299db0eac78280f8bec072e921b0b6a9ec0bc967452d6d4a9f5b9aa35ade,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":26.72812166699441}]",4.592386054376111,4.803736798396931,0.21635074402081955,0,16,0.0,0.0,0.0,0.0,True,26.694930208963342,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-prefill-shift-2,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,-2,prefill,fast,5.2,10.0,0.004,ok,True,True,,[],True,0.014946207986213267,95f0d49f34306e31f8e97ec29bdd5213585fc8a6963aeb728ad42d9530edda00,26.72812166699441,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,1e2d299db0eac78280f8bec072e921b0b6a9ec0bc967452d6d4a9f5b9aa35ade,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":26.72812166699441}]",4.592386054376111,4.803736798396931,0.21635074402081955,0,16,0.0,0.0,0.0,0.0,True,26.694930208963342,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-decode-shift-1,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,-1,decode,fast,5.2,0.3,0.004,ok,True,True,,[],True,0.017784874944482,6638b428e3f20b3f68dd85336aa64064bdb16106e02277da8671fc407d79d466,32.14890829101205,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,61ada8c2d9eb1ed13ab39d7465d3f9fdb2ff00590a8863277de986e72cf1d0e3,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":32.14890829101205}]",4.560514054372907,4.77826479839212,0.22275074401921302,0,16,0.0,0.0,0.0,0.0,True,32.12565458298195,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-prefill-shift-1,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,-1,prefill,fast,5.2,10.0,0.004,ok,True,True,,[],True,0.016391250013839453,6638b428e3f20b3f68dd85336aa64064bdb16106e02277da8671fc407d79d466,32.14890829101205,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,61ada8c2d9eb1ed13ab39d7465d3f9fdb2ff00590a8863277de986e72cf1d0e3,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":32.14890829101205}]",4.560514054372907,4.77826479839212,0.22275074401921302,0,16,0.0,0.0,0.0,0.0,True,32.12565458298195,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-decode-shift0,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,0,decode,fast,5.2,0.3,0.004,ok,True,True,,[],True,0.02074408403132111,06e5d4230653d6c08242b2be079ccf877fc4520e3c3737b337d84449c5017524,33.32375483302167,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,c87a89a2fa3cb07a399aa6d1ddeb480074a1d6cfe8a516916a09d58e3490acf9,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":33.32375483302167}]",4.528642054369702,4.752792798387309,0.2291507440176065,0,16,0.0,0.0,0.0,0.0,True,33.265014542033896,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-prefill-shift0,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,0,prefill,fast,5.2,10.0,0.004,ok,True,True,,[],True,0.02086787496227771,06e5d4230653d6c08242b2be079ccf877fc4520e3c3737b337d84449c5017524,33.32375483302167,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,c87a89a2fa3cb07a399aa6d1ddeb480074a1d6cfe8a516916a09d58e3490acf9,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":33.32375483302167}]",4.528642054369702,4.752792798387309,0.2291507440176065,0,16,0.0,0.0,0.0,0.0,True,33.265014542033896,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-decode-shift1,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,1,decode,fast,5.2,0.3,0.004,ok,True,True,,[],True,0.01876483397791162,108cb5a7f0c845d8c21121ef1c94f95458fce1324c84a0395640cf5089a50013,38.2869002079824,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,50eea4f38bfe663daf3623b3196b6303d9075fd8896e59785d143be48e2a31c5,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":38.2869002079824}]",4.496770054366498,4.727320798382498,0.23555074401599996,0,16,0.0,0.0,0.0,0.0,True,38.24767962505575,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-prefill-shift1,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,1,prefill,fast,5.2,10.0,0.004,ok,True,True,,[],True,0.017299542028922588,108cb5a7f0c845d8c21121ef1c94f95458fce1324c84a0395640cf5089a50013,38.2869002079824,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,50eea4f38bfe663daf3623b3196b6303d9075fd8896e59785d143be48e2a31c5,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":38.2869002079824}]",4.496770054366498,4.727320798382498,0.23555074401599996,0,16,0.0,0.0,0.0,0.0,True,38.24767962505575,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-decode-shift2,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,2,decode,fast,5.2,0.3,0.004,ok,True,True,,[],True,0.02282991597894579,ecdc3f113a4d0c7f2f741b5d5ee739aa0c29ceb55ceba1c0827ac32801d46810,26.309563165996224,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,2a00a3810a743757845b3eb596dde0dd6af4637f3df73def4541bcaafc253db1,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":26.309563165996224}]",4.464898054363293,4.701848798377687,0.24195074401439343,0,16,0.0,0.0,0.0,0.0,True,26.259843125008047,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-prefill-shift2,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,2,prefill,fast,5.2,10.0,0.004,ok,True,True,,[],True,0.03804687497904524,ecdc3f113a4d0c7f2f741b5d5ee739aa0c29ceb55ceba1c0827ac32801d46810,26.309563165996224,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,633d00ebc92c4991a2f9844c60ca7f012d996b1f2b364d78c07eb311ff4077ee,2a00a3810a743757845b3eb596dde0dd6af4637f3df73def4541bcaafc253db1,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":26.309563165996224}]",4.464898054363293,4.701848798377687,0.24195074401439343,0,16,0.0,0.0,0.0,0.0,True,26.259843125008047,"{""origin"":""laptop_pretransfer""}",laptop_pretransfer,agreement
h101-o60-d30-heterogeneous-fast-decode-shift-2,h101-o60-d30-heterogeneous-fast,primary,h101-o60-d30,30,60,101,heterogeneous,-2,decode,fast,5.2,0.3,0.008,ok,True,True,,[],True,0.0077877999865449965,411323516ef620e6b2c7305425f49d36c9b21efd14e4114990e1591d8ae41b28,13.348230800009333,False,7b0ee2875d7b651a409331e0acde97f27f47390ab626e400073674f34b795487,eaa40d7db5b730ff940f79b85bb4fa4b5fb9a3fb00393f5dc0a623bdbc76d38f,1e2d299db0eac78280f8bec072e921b0b6a9ec0bc967452d6d4a9f5b9aa35ade,cfa10f4b4b56dfb3fadb07e503e6a14a3a19942c30391a5403f20d21129608c9,4f186748f3fb5940179e833ffe68cf463bb8b9d1dbbd16926490062065669b15,"[{""part"":""reference"",""attempt"":1,""status"":""ok"",""wall_s"":13.348230800009333}]",4.592386054369745,4.803736798372374,0.2163507440037381,0,16,0.0,0.0,0.0,0.0,True,10.357415499980561,"{""system"":""Windows"",""machine"":""AMD64"",""python"":""3.12.10"",""cpu_logical"":20,""memory_bytes"":34164097024}",current_host,agreement
