grid_version,workload,candidate,SLA,scope,aggregation,BS,BU,O,C,unknown,scheduled,decidable,E_approved,unverified_approval,optimistic_approval_fraction,optimistic_approval_fraction_numerator,optimistic_approval_fraction_denominator,optimistic_approval_fraction_na_reason,reference_safe_missed_fraction,reference_safe_missed_fraction_numerator,reference_safe_missed_fraction_denominator,reference_safe_missed_fraction_na_reason,false_positive_rate,false_positive_rate_numerator,false_positive_rate_denominator,false_positive_rate_na_reason,E_approval_coverage,E_approval_coverage_numerator,E_approval_coverage_denominator,E_approval_coverage_na_reason,both_decision_coverage,both_decision_coverage_numerator,both_decision_coverage_denominator,both_decision_coverage_na_reason,BS_fraction,BS_fraction_numerator,BS_fraction_denominator,BS_fraction_na_reason,BU_fraction,BU_fraction_numerator,BU_fraction_denominator,BU_fraction_na_reason,O_fraction,O_fraction_numerator,O_fraction_denominator,O_fraction_na_reason,C_fraction,C_fraction_numerator,C_fraction_denominator,C_fraction_na_reason,attainment_mean_bias,attainment_MAE,attainment_P90_absolute,attainment_na_reason,subset_status,optimistic_approval_fraction_valid_workloads,optimistic_approval_fraction_valid_candidates,reference_safe_missed_fraction_valid_workloads,reference_safe_missed_fraction_valid_candidates,false_positive_rate_valid_workloads,false_positive_rate_valid_candidates,E_approval_coverage_valid_workloads,E_approval_coverage_valid_candidates,both_decision_coverage_valid_workloads,both_decision_coverage_valid_candidates,BS_fraction_valid_workloads,BS_fraction_valid_candidates,BU_fraction_valid_workloads,BU_fraction_valid_candidates,O_fraction_valid_workloads,O_fraction_valid_candidates,C_fraction_valid_workloads,C_fraction_valid_candidates,attainment_valid_workloads,attainment_valid_candidates
G1,w204,-1,S5,latency_only,candidate_raw_counts,15,7,0,0,0,22,22,15,0,0.0,0,15,,0.0,0,15,,0.0,0,7,,0.6818181818181818,15,22,,1.0,22,22,,0.6818181818181818,15,22,,0.3181818181818182,7,22,,0.0,0,22,,0.0,0,22,,0.03409090909090909,0.03615702479338843,0.15909090909090906,,present,,,,,,,,,,,,,,,,,,,,
G1,w204,0,S5,latency_only,candidate_raw_counts,15,7,0,0,0,22,22,15,0,0.0,0,15,,0.0,0,15,,0.0,0,7,,0.6818181818181818,15,22,,1.0,22,22,,0.6818181818181818,15,22,,0.3181818181818182,7,22,,0.0,0,22,,0.0,0,22,,0.04648760330578512,0.04648760330578512,0.2727272727272727,,present,,,,,,,,,,,,,,,,,,,,
G1,w204,1,S5,latency_only,candidate_raw_counts,14,7,1,0,0,22,22,15,0,0.06666666666666667,1,15,,0.0,0,14,,0.125,1,8,,0.6818181818181818,15,22,,1.0,22,22,,0.6363636363636364,14,22,,0.3181818181818182,7,22,,0.045454545454545456,1,22,,0.0,0,22,,0.038223140495867766,0.038223140495867766,0.20454545454545456,,present,,,,,,,,,,,,,,,,,,,,
G1,w204,2,S5,latency_only,candidate_raw_counts,14,8,0,0,0,22,22,14,0,0.0,0,14,,0.0,0,14,,0.0,0,8,,0.6363636363636364,14,22,,1.0,22,22,,0.6363636363636364,14,22,,0.36363636363636365,8,22,,0.0,0,22,,0.0,0,22,,0.03925619834710744,0.03925619834710744,0.2272727272727273,,present,,,,,,,,,,,,,,,,,,,,
G1,w204,ALL,S5,latency_only,pooled_counts,74,35,1,0,0,110,110,75,0,0.013333333333333334,1,75,,0.0,0,74,,0.027777777777777776,1,36,,0.6818181818181818,75,110,,1.0,110,110,,0.6727272727272727,74,110,,0.3181818181818182,35,110,,0.00909090909090909,1,110,,0.0,0,110,,0.037396694214876035,0.038636363636363635,0.20454545454545447,,present,,,,,,,,,,,,,,,,,,,,
G1,w204,ALL,S5,latency_only,equal_candidate_equal_workload_macro,,,,,,,,,,0.013333333333333332,,,,0.0,,,,0.025,,,,0.6818181818181818,,,,1.0,,,,0.6727272727272727,,,,0.3181818181818182,,,,0.00909090909090909,,,,0.0,,,,0.037396694214876035,0.038636363636363635,0.20454545454545447,,,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
G1,w204,-2,S5,near_boundary,candidate_raw_counts,1,0,0,0,0,1,1,1,0,0.0,0,1,,0.0,0,1,,,0,0,zero denominator,1.0,1,1,,1.0,1,1,,1.0,1,1,,0.0,0,1,,0.0,0,1,,0.0,0,1,,-0.022727272727272707,0.022727272727272707,0.022727272727272707,,present,,,,,,,,,,,,,,,,,,,,
G1,w204,-1,S5,near_boundary,candidate_raw_counts,0,0,0,0,0,0,0,0,0,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,,,no both-attainment-defined points,absent,,,,,,,,,,,,,,,,,,,,
G1,w204,0,S5,near_boundary,candidate_raw_counts,1,0,0,0,0,1,1,1,0,0.0,0,1,,0.0,0,1,,,0,0,zero denominator,1.0,1,1,,1.0,1,1,,1.0,1,1,,0.0,0,1,,0.0,0,1,,0.0,0,1,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
G1,w204,1,S5,near_boundary,candidate_raw_counts,0,0,0,0,0,0,0,0,0,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,,,no both-attainment-defined points,absent,,,,,,,,,,,,,,,,,,,,
G1,w204,2,S5,near_boundary,candidate_raw_counts,0,0,0,0,0,0,0,0,0,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,0,0,zero denominator,,,,no both-attainment-defined points,absent,,,,,,,,,,,,,,,,,,,,
G1,w204,ALL,S5,near_boundary,pooled_counts,2,0,0,0,0,2,2,2,0,0.0,0,2,,0.0,0,2,,,0,0,zero denominator,1.0,2,2,,1.0,2,2,,1.0,2,2,,0.0,0,2,,0.0,0,2,,0.0,0,2,,-0.011363636363636354,0.011363636363636354,0.022727272727272707,,present,,,,,,,,,,,,,,,,,,,,
G1,w204,ALL,S5,near_boundary,equal_candidate_equal_workload_macro,,,,,,,,,,0.0,,,,0.0,,,,,,,all denominators zero,1.0,,,,1.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,,-0.011363636363636354,0.011363636363636354,0.022727272727272707,,,1,2,1,2,0,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2
G1,w204,-2,S6,service,candidate_raw_counts,18,3,0,1,9,31,22,18,0,0.0,0,18,,0.05263157894736842,1,19,,0.0,0,3,,0.5806451612903226,18,31,,0.7096774193548387,22,31,,0.8181818181818182,18,22,,0.13636363636363635,3,22,,0.0,0,22,,0.045454545454545456,1,22,,-0.06198347107438016,0.06198347107438016,0.34090909090909094,,present,,,,,,,,,,,,,,,,,,,,
G1,w204,-1,S6,service,candidate_raw_counts,18,3,0,1,9,31,22,18,0,0.0,0,18,,0.05263157894736842,1,19,,0.0,0,3,,0.5806451612903226,18,31,,0.7096774193548387,22,31,,0.8181818181818182,18,22,,0.13636363636363635,3,22,,0.0,0,22,,0.045454545454545456,1,22,,-0.060950413223140494,0.060950413223140494,0.34090909090909094,,present,,,,,,,,,,,,,,,,,,,,
