grid_version,workload,metric,weighting,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,request_count
G0,h101,TTFT,request-pooled supplement,-0.02330247326233348,0.06147133454533105,0.22604802913593858,0.7254305058184904,0.19032683698204697,0.25658467327370377,-0.29688984073384894,8.52408141594642,,2800
G0,h101,TPOT,request-pooled supplement,-5.8993602111839794e-05,5.899360318328828e-05,0.018467783697167672,0.038488254003707145,-0.003951500866388066,0.005177301130899175,-0.11300532596046003,0.05836700574997861,,2800
G0,h102,TTFT,request-pooled supplement,-0.02384699040749183,0.06103412897300586,0.22689349800083392,0.6809833554046989,0.22609614313697593,0.29577187966606583,-0.22729519900894957,18.69895966350211,,8100
G0,h102,TPOT,request-pooled supplement,-5.902721550990475e-05,5.9027217156698564e-05,0.025138127678419997,0.045199334267418234,0.0006645075604280931,0.010419860376994265,-0.24626525626320206,2.3493683838872585,,8100
G0,h103,TTFT,request-pooled supplement,-0.008795053401627229,0.09373519995216384,13.38533703575531,15.344029168543905,3.0094624728572663,3.068283081644186,-0.10483231434773188,22.63690421704335,,2100
G0,h103,TPOT,request-pooled supplement,-5.902720400224881e-05,5.902721869821548e-05,0.09156899278254993,0.11347818423586747,-0.021374673983134574,0.022415137997186748,-0.21288967937973996,0.046180762720730684,,2100
G0,h104,TTFT,request-pooled supplement,-0.01433544557676214,0.0660138421371812,0.25649883783546557,0.5003070929782325,0.10843652322609429,0.16368025394690128,-0.7032892927994112,6.892311539450844,,8910
G0,h104,TPOT,request-pooled supplement,-5.899363075312358e-05,5.899363395020507e-05,0.04842062586778001,0.06171406216197667,-0.008859367474636467,0.013183591473704457,-0.29711753240619293,0.25258277758997094,,8910
G0,h105,TTFT,request-pooled supplement,-0.02206360759691961,0.06135334733176023,0.22135218068272877,0.6975964853105481,0.09731408170540526,0.16180271621525494,-0.07751759471284458,3.8239243100193967,,1890
G0,h105,TPOT,request-pooled supplement,-5.899360211017446e-05,5.899360326225289e-05,0.022395395976522292,0.03482968576020018,-0.002775399857531517,0.0052198846726741795,-0.17782914779887743,0.09622779119863867,,1890
G0,h106,TTFT,request-pooled supplement,0.15940959552736444,0.15958872230140742,0.23143463339772552,0.8102711839563828,0.25034119263847354,0.2821518489011261,-0.23309653527005025,14.310989361671375,,9065
G0,h106,TPOT,request-pooled supplement,-5.902720397873984e-05,0.006091065788939559,0.04990016273959286,0.06041958215221055,-0.006529412308435669,0.01763387952479566,-0.1389062709427219,1.1747441173711288,,9065
G0,w201,TTFT,request-pooled supplement,0.1530428427252133,0.1530428427252133,3.3383410061083953,8.717594822221566,1.2837270632527311,1.330231640574434,-0.09857831094717984,18.581922001769897,,1105
G0,w201,TPOT,request-pooled supplement,-5.8993603062246214e-05,0.0008269393996733765,0.03779379344207495,0.05217239094602341,-0.006264575052474563,0.013116796399959373,-0.3309550446251588,0.17309690647592352,,1105
G0,w202,TTFT,request-pooled supplement,-0.012572794474181137,0.11055795304491767,0.30059032863604784,1.2172271533081016,0.2810302461046329,0.3339709767717959,-0.11764121764281299,7.731868748455803,,3840
G0,w202,TPOT,request-pooled supplement,-5.902720455161492e-05,0.0003079743813071689,0.03996470779556344,0.05452820544396286,-0.0018027933007582736,0.01152039373763022,-0.1551887949581235,0.31943204770254086,,3840
G0,w203,TTFT,request-pooled supplement,0.7252087863409358,0.7252087863409358,6.307100993339304,6.355550480508117,2.595187207945978,2.6314578366499677,-0.07106875362660503,6.431380529721102,,625
G0,w203,TPOT,request-pooled supplement,0.0024134493082494657,0.0024982359574186874,0.010076994505485548,0.0110063945558396,0.003769048424465657,0.004529963116518588,-0.02738287558578284,0.017272932606128832,,625
G0,w204,TTFT,request-pooled supplement,-0.0007079232564137783,0.07474489525293393,1.8627455961286614,5.155785725907364,0.7753842895513099,0.824485725642236,-0.3138592041113384,21.913008918702886,,3520
G0,w204,TPOT,request-pooled supplement,-5.899361600017472e-05,5.899363715780592e-05,0.059135232102006996,0.0955548371819116,0.0023804868579169252,0.02514443999632315,-0.3299175991920084,0.8532171397157852,,3520
G0,ALL,TTFT,request-pooled supplement,-0.012218631220093812,0.06900280147851845,0.3871614956030669,2.2112352896983793,0.4517368680185408,0.5047954690578494,-0.7032892927994112,22.63690421704335,,41955
G0,ALL,TPOT,request-pooled supplement,-5.902720166969799e-05,5.902721874959105e-05,0.044656328514035615,0.059390026645295746,-0.0046967038912991066,0.013901171008888899,-0.3309550446251588,2.3493683838872585,,41955
G1,h101,TTFT,request-pooled supplement,-0.022417569209210342,0.06164831534383097,0.22473808905601622,0.6688672725949161,0.1810772216491068,0.24098358262977063,-0.29688984073384894,8.52408141594642,,3280
G1,h101,TPOT,request-pooled supplement,-5.899360190445013e-05,5.899360339589599e-05,0.019139336293699183,0.03750142343309193,-0.0032403078551208786,0.005705871171224035,-0.11300532596046003,0.05836700574997861,,3280
G1,h102,TTFT,request-pooled supplement,-0.022902554454049096,0.0618605098225089,0.22315183734973232,0.5039939006129543,0.209667609894082,0.27113182760096116,-0.22729519900894957,18.69895966350211,,9720
G1,h102,TPOT,request-pooled supplement,-5.902721386519261e-05,5.902721873290995e-05,0.02221231422643677,0.04369429355178883,0.0008630253493345,0.009892165226755486,-0.24626525626320206,2.3493683838872585,,9720
G1,h103,TTFT,request-pooled supplement,0.12942034671838343,0.12942034671838343,12.140961874751879,14.924233184855957,2.513132722661142,2.565019579403463,-0.10483231434773188,22.63690421704335,,2550
G1,h103,TPOT,request-pooled supplement,-5.902720297931707e-05,0.0007649731665892168,0.07539952134049127,0.10923042450044596,-0.01765364548480662,0.020209421215998336,-0.21288967937973996,0.046180762720730684,,2550
G1,h104,TTFT,request-pooled supplement,-0.010146899840037804,0.0724441446363926,0.23452884732804335,0.32516711778143303,0.1149665880329802,0.1615856982338564,-0.7032892927994112,6.892311539450844,,11340
G1,h104,TPOT,request-pooled supplement,-5.899361917893753e-05,5.8993637143678335e-05,0.048324421911192406,0.06138205050314427,-0.008046448491271656,0.013245417369708629,-0.29711753240619293,0.25258277758997094,,11340
G1,h105,TTFT,request-pooled supplement,-0.012211675863341043,0.07751759460421681,0.3131420229531692,1.175584172538585,0.357050007917071,0.41162658566585186,-0.07751759471284458,13.51850606671042,,2310
G1,h105,TPOT,request-pooled supplement,-5.899360189687286e-05,5.899360360403505e-05,0.026733580458313033,0.04078399035634933,-0.003915800387862653,0.007693342199133292,-0.29183678447315353,0.09622779119863867,,2310
G1,h106,TTFT,request-pooled supplement,0.1608262484246552,0.1609255956564084,0.26317777130122977,1.1678240448335941,0.2750454944287604,0.3059264589975002,-0.23309653527005025,14.310989361671375,,10535
