grid_version,workload,scope,SLA,metric,error_kind,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,valid_workloads,valid_candidates,valid_points,valid_requests,inapplicable_or_small_reference_requests,weighting
G1,h101,full_grid,S5,TPOT,SLA_budget_normalized,-0.00019664533968150044,0.00019664534465298664,0.06379778764566395,0.1250047447769731,-0.010801026183736262,0.019019570570746783,-0.3766844198682001,0.19455668583326202,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,service_relevant,S5,TTFT,SLA_budget_normalized,-0.003962403679300526,0.010078073880054697,0.032028142908446945,0.03524408805598137,0.0004013188015667432,0.012311865900480027,-0.019595708543420187,0.04053763118166861,,1,5,170,2720,0,equal workload/candidate/point/request
G1,h101,service_relevant,S5,TTFT,seconds,-0.02377442207580316,0.06046844328032819,0.19216885745068168,0.21146452833588825,0.0024079128094004593,0.07387119540288016,-0.11757425126052112,0.24322578709001164,,1,5,170,2720,0,equal workload/candidate/point/request
G1,h101,service_relevant,S5,TPOT,SLA_budget_normalized,-0.00019664533896994002,0.00019664534353906288,0.008363855645764084,0.027347487992312274,0.0032339908464933537,0.003544018789520174,-0.02707148987884415,0.11572346159460438,,1,5,170,2720,0,equal workload/candidate/point/request
G1,h101,service_relevant,S5,TPOT,seconds,-5.8993601690982e-05,5.899360306171886e-05,0.0025091566937292253,0.008204246397693682,0.0009701972539480061,0.001063205636856052,-0.008121446963653245,0.03471703847838131,,1,5,170,2720,0,equal workload/candidate/point/request
G1,h101,full_grid,S6,TTFT,SLA_budget_normalized,-0.0037362615348683903,0.010274719223971829,0.037456348176002706,0.11147787876581934,0.0301795369415178,0.0401639304382951,-0.04948164012230816,1.42068023599107,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,full_grid,S6,TPOT,SLA_budget_normalized,-0.00011798720380890027,0.00011798720679179198,0.038278672587398366,0.07500284686618386,-0.006480615710241757,0.01141174234244807,-0.22601065192092007,0.11673401149995721,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,service_relevant,S6,TTFT,SLA_budget_normalized,-0.0037362615348683903,0.010274719223464976,0.03675909804263355,0.10927630981443108,0.02891184359512997,0.03899742169056611,-0.04948164012230816,1.42068023599107,,1,5,203,3248,0,equal workload/candidate/point/request
G1,h101,service_relevant,S6,TTFT,seconds,-0.022417569209210342,0.06164831534078985,0.22055458825580132,0.6556578588865865,0.17347106157077982,0.23398453014339665,-0.29688984073384894,8.52408141594642,,1,5,203,3248,0,equal workload/candidate/point/request
G1,h101,service_relevant,S6,TPOT,SLA_budget_normalized,-0.00011798720380790106,0.00011798720665295859,0.036013881699820394,0.07287214507690032,-0.005946560829855902,0.010869160335491334,-0.22601065192092007,0.11673401149995721,,1,5,203,3248,0,equal workload/candidate/point/request
G1,h101,service_relevant,S6,TPOT,seconds,-5.899360190395053e-05,5.8993603326479294e-05,0.018006940849910197,0.03643607253845016,-0.002973280414927951,0.005434580167745667,-0.11300532596046003,0.05836700574997861,,1,5,203,3248,0,equal workload/candidate/point/request
G1,h102,full_grid,,TTFT,seconds,-0.022902554454049096,0.0618605098225089,0.22315183734973232,0.5039939006129543,0.209667609894082,0.27113182760096116,-0.22729519900894957,18.69895966350211,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,,TTFT,relative,-0.017968042395900607,0.021596425079888047,0.23853719352877953,0.35931554778151786,0.10780454404649428,0.1344759866453498,-0.28489703011159595,24.247554700048926,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,,TPOT,seconds,-5.902721386519261e-05,5.902721873290995e-05,0.02221231422643677,0.04369429355178883,0.0008630253493345,0.009892165226755486,-0.24626525626320206,2.3493683838872585,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,,TPOT,relative,-0.000263014066897641,0.0002707347332325186,0.06366026783267377,0.11328788368753993,-0.0018104620398638686,0.022008755147042827,-0.44302408233590623,3.412106392867303,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,S1,TTFT,SLA_budget_normalized,-0.009161021781619639,0.02474420392900356,0.08926073493989292,0.20159756024518174,0.08386704395763281,0.10845273104038447,-0.09091807960357982,7.479583865400843,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,S1,TPOT,SLA_budget_normalized,-0.0003935147591012841,0.000393514791552733,0.1480820948429118,0.2912952903452589,0.005753502328896667,0.0659477681783699,-1.6417683750880139,15.662455892581724,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,service_relevant,S1,TTFT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,service_relevant,S1,TTFT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,service_relevant,S1,TPOT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,service_relevant,S1,TPOT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,full_grid,S2,TTFT,SLA_budget_normalized,-0.009161021781619639,0.02474420392900356,0.08926073493989292,0.20159756024518174,0.08386704395763281,0.10845273104038447,-0.09091807960357982,7.479583865400843,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,S2,TPOT,SLA_budget_normalized,-0.00019675737955064204,0.0001967573957763665,0.0740410474214559,0.14564764517262946,0.0028767511644483333,0.03297388408918495,-0.8208841875440069,7.831227946290862,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,service_relevant,S2,TTFT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,service_relevant,S2,TTFT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,service_relevant,S2,TPOT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
