case,source,variant,lambda,evaluator_safe,reference_safe,disagreement,evaluator_violation,reference_violation,reference_ttft_s,reference_tpot_s,reference_cache_key,evaluator_runtime_s
a100-s0-fast-decode,nominal_gap,prefill_minus5,0.025,False,False,agreement,decode_sla_budget,tpot,0.9877599403047316,0.30660253704298157,b8e52b57603f5adfa3e40a1ee63c26813f0d302de27212f1db9d1b49a0c8d934,0.007779167033731937
a100-s0-fast-decode,nominal_gap,prefill_minus5,0.04,False,False,agreement,decode_sla_budget,tpot,0.987759940300241,0.7911637376032604,076f9bbfd998842c67cb1af18606bd9fa183d5ce05dcea9fbe9d61a394dc5757,0.008263625029940158
a100-s0-fast-decode,nominal_gap,prefill_minus5,0.08,False,False,agreement,decode_sla_budget,tpot,0.987759940300241,0.9694856826742512,c9236dad13886eeb0c476828971ea766847ac4bd2f453b4132d330e355e28c30,0.010385959001723677
a100-s0-fast-decode,nominal_gap,prefill_minus5,0.16,False,False,agreement,decode_sla_budget,tpot,0.9883938158816977,1.0017894272023442,394f12fc97b50b60ac8d1adeab11b07f821572efbb6f593f1be219880a1a0e74,0.013732291990891099
a100-s0-fast-decode,nominal_gap,prefill_minus5,0.32,False,False,agreement,decode_sla_budget,tpot,0.9935773133593148,1.0017968000037074,1870db0576024fe0def84ca478625aa2183802ae2eeca2c4b73f9e3552a5ba1c,0.020108750031795353
a100-s0-fast-decode,nominal_gap,prefill_minus5,0.64,False,False,agreement,decode_sla_budget,tpot,0.9995594125361481,1.0018041728031308,8ef7eec494e4ff3be6cb8c75b359ac96e1cbddf46654e7e8b6af1ba536919dc6,0.027400124992709607
a100-s0-fast-decode,nominal_gap,prefill_minus5,1.28,False,False,agreement,decode_sla_budget,tpot,1.0037818331119803,1.0500925215999013,bb0060c1742645a71b62e415750bfa616a55d2643cf76342a5fc11ab6507920c,0.03382487501949072
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.006,True,True,agreement,,,0.9877599402942724,0.11715074401070524,f366ae8f31dff8a7c5e1ac680def6d381741348c5138a5dfd61a80849835f7cb,0.007970042002853006
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.01,True,True,agreement,,,0.987759940295864,0.11715074401070524,6c91adbdbcfd9ab2dd7ea97c591fc3261949b8d0becb9c844a734f4ddbd9a3a3,0.008063957968261093
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.0131,True,True,agreement,,,0.987759940295864,0.11715074401070524,17d83fd453d77ed3021baae02a1a63289004ced0348f777f0a852b7905a1ecbb,0.008003750001080334
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.0132,True,True,agreement,,,0.987759940295864,0.11715074401070524,541961434bc0f1dbcae39bb7fa9a968f6c0f13858fd05b0f7b0f6b5cd2b9c19b,0.00794891599798575
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.015,True,True,agreement,,,0.987759940295864,0.11715074401070524,5cc8b8466b6e001167d459a206dfa005c8e0085bebd146477aabc732b7dc6750,0.008016082982067019
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.01625,False,False,agreement,decode_sla_budget,tpot,0.987759940295864,0.3107415512375883,2000bfeaa7331bc7bfba1532ff70fc4c99e56273949a50d93793c39d8963bcf6,0.007464292051736265
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.0175,False,False,agreement,decode_sla_budget,tpot,0.987759940295864,0.3442121776801105,c4995e1362f6a92fc2bdbcee9ca0dcd19ebeb352575d921e45da9f3a41f0d3a6,0.0076072909869253635
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.02,False,False,agreement,decode_sla_budget,tpot,0.9877599403047316,0.29250268621570286,d29c609873ce863cac333f08d981cc4c506333c0c12d112ec9b88aee23af2548,0.007787625014316291
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.025,False,False,agreement,decode_sla_budget,tpot,0.9877599403047316,0.30660253704298157,b8e52b57603f5adfa3e40a1ee63c26813f0d302de27212f1db9d1b49a0c8d934,0.007572749978862703
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.04,False,False,agreement,decode_sla_budget,tpot,0.987759940300241,0.7911637376032604,076f9bbfd998842c67cb1af18606bd9fa183d5ce05dcea9fbe9d61a394dc5757,0.008036292041651905
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.08,False,False,agreement,decode_sla_budget,tpot,0.987759940300241,0.9694856826742512,c9236dad13886eeb0c476828971ea766847ac4bd2f453b4132d330e355e28c30,0.01024866703664884
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.16,False,False,agreement,decode_sla_budget,tpot,0.9883938158816977,1.0017894272023442,394f12fc97b50b60ac8d1adeab11b07f821572efbb6f593f1be219880a1a0e74,0.01326229196274653
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.32,False,False,agreement,decode_sla_budget,tpot,0.9935773133593148,1.0017968000037074,1870db0576024fe0def84ca478625aa2183802ae2eeca2c4b73f9e3552a5ba1c,0.01908933400409296
a100-s0-fast-decode,nominal_gap,prefill_minus10,0.64,False,False,agreement,decode_sla_budget,tpot,0.9995594125361481,1.0018041728031308,8ef7eec494e4ff3be6cb8c75b359ac96e1cbddf46654e7e8b6af1ba536919dc6,0.027043000038247555
a100-s0-fast-decode,nominal_gap,prefill_minus10,1.28,False,False,agreement,decode_sla_budget,tpot,1.0037818331119803,1.0500925215999013,bb0060c1742645a71b62e415750bfa616a55d2643cf76342a5fc11ab6507920c,0.0581742079812102
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.006,True,True,agreement,,,0.9877599402942724,0.11715074401070524,f366ae8f31dff8a7c5e1ac680def6d381741348c5138a5dfd61a80849835f7cb,0.009199541993439198
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.01,True,True,agreement,,,0.987759940295864,0.11715074401070524,6c91adbdbcfd9ab2dd7ea97c591fc3261949b8d0becb9c844a734f4ddbd9a3a3,0.008065790985710919
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.0131,True,True,agreement,,,0.987759940295864,0.11715074401070524,17d83fd453d77ed3021baae02a1a63289004ced0348f777f0a852b7905a1ecbb,0.00801404204685241
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.0132,True,True,agreement,,,0.987759940295864,0.11715074401070524,541961434bc0f1dbcae39bb7fa9a968f6c0f13858fd05b0f7b0f6b5cd2b9c19b,0.00797325000166893
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.015,True,True,agreement,,,0.987759940295864,0.11715074401070524,5cc8b8466b6e001167d459a206dfa005c8e0085bebd146477aabc732b7dc6750,0.007968541991431266
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.01625,False,False,agreement,decode_sla_budget,tpot,0.987759940295864,0.3107415512375883,2000bfeaa7331bc7bfba1532ff70fc4c99e56273949a50d93793c39d8963bcf6,0.008361165993846953
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.0175,False,False,agreement,decode_sla_budget,tpot,0.987759940295864,0.3442121776801105,c4995e1362f6a92fc2bdbcee9ca0dcd19ebeb352575d921e45da9f3a41f0d3a6,0.007530957984272391
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.02,False,False,agreement,decode_sla_budget,tpot,0.9877599403047316,0.29250268621570286,d29c609873ce863cac333f08d981cc4c506333c0c12d112ec9b88aee23af2548,0.007657416979782283
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.025,False,False,agreement,decode_sla_budget,tpot,0.9877599403047316,0.30660253704298157,b8e52b57603f5adfa3e40a1ee63c26813f0d302de27212f1db9d1b49a0c8d934,0.008911415992770344
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.04,False,False,agreement,decode_sla_budget,tpot,0.987759940300241,0.7911637376032604,076f9bbfd998842c67cb1af18606bd9fa183d5ce05dcea9fbe9d61a394dc5757,0.008017666987143457
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.08,False,False,agreement,decode_sla_budget,tpot,0.987759940300241,0.9694856826742512,c9236dad13886eeb0c476828971ea766847ac4bd2f453b4132d330e355e28c30,0.01024491700809449
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.16,False,False,agreement,decode_sla_budget,tpot,0.9883938158816977,1.0017894272023442,394f12fc97b50b60ac8d1adeab11b07f821572efbb6f593f1be219880a1a0e74,0.013554041972383857
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.32,False,False,agreement,decode_sla_budget,tpot,0.9935773133593148,1.0017968000037074,1870db0576024fe0def84ca478625aa2183802ae2eeca2c4b73f9e3552a5ba1c,0.019933250034227967
a100-s0-fast-decode,nominal_gap,prefill_minus20,0.64,False,False,agreement,decode_sla_budget,tpot,0.9995594125361481,1.0018041728031308,8ef7eec494e4ff3be6cb8c75b359ac96e1cbddf46654e7e8b6af1ba536919dc6,0.03055337502155453
a100-s0-fast-decode,nominal_gap,prefill_minus20,1.28,False,False,agreement,decode_sla_budget,tpot,1.0037818331119803,1.0500925215999013,bb0060c1742645a71b62e415750bfa616a55d2643cf76342a5fc11ab6507920c,0.03203183301957324
a100-s0-fast-decode,nominal_gap,decode_minus5,0.006,True,True,agreement,,,0.9877599402942724,0.11715074401070524,f366ae8f31dff8a7c5e1ac680def6d381741348c5138a5dfd61a80849835f7cb,0.008080416999291629
a100-s0-fast-decode,nominal_gap,decode_minus5,0.01,True,True,agreement,,,0.987759940295864,0.11715074401070524,6c91adbdbcfd9ab2dd7ea97c591fc3261949b8d0becb9c844a734f4ddbd9a3a3,0.00796954199904576
a100-s0-fast-decode,nominal_gap,decode_minus5,0.0131,True,True,agreement,,,0.987759940295864,0.11715074401070524,17d83fd453d77ed3021baae02a1a63289004ced0348f777f0a852b7905a1ecbb,0.008120417012833059
a100-s0-fast-decode,nominal_gap,decode_minus5,0.0132,True,True,agreement,,,0.987759940295864,0.11715074401070524,541961434bc0f1dbcae39bb7fa9a968f6c0f13858fd05b0f7b0f6b5cd2b9c19b,0.00793066603364423
a100-s0-fast-decode,nominal_gap,decode_minus5,0.015,True,True,agreement,,,0.987759940295864,0.11715074401070524,5cc8b8466b6e001167d459a206dfa005c8e0085bebd146477aabc732b7dc6750,0.007941999996546656
a100-s0-fast-decode,nominal_gap,decode_minus5,0.01625,False,False,agreement,decode_sla_budget,tpot,0.987759940295864,0.3107415512375883,2000bfeaa7331bc7bfba1532ff70fc4c99e56273949a50d93793c39d8963bcf6,0.007965917000547051
a100-s0-fast-decode,nominal_gap,decode_minus5,0.0175,False,False,agreement,decode_sla_budget,tpot,0.987759940295864,0.3442121776801105,c4995e1362f6a92fc2bdbcee9ca0dcd19ebeb352575d921e45da9f3a41f0d3a6,0.007528166985139251
a100-s0-fast-decode,nominal_gap,decode_minus5,0.02,False,False,agreement,decode_sla_budget,tpot,0.9877599403047316,0.29250268621570286,d29c609873ce863cac333f08d981cc4c506333c0c12d112ec9b88aee23af2548,0.007588499982375652
