group,shift,intensity,origin,status,sla,semantics,point_record,evaluator_safe,reference_safe,evaluator_first_violation_count,reference_violation_type,reference_violating_requests,reference_request_count,reference_violating_request_fraction,reference_max_ttft_excess_s,reference_max_tpot_excess_s
h101-o60-d30-heterogeneous-fast,2,12.6337910818,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,167c22eed7963135d3c48dddc8f8990d3e86dbd6a94471dde4bca7a560a2e047,False,False,1,both,16,16,1.0,0.33952640593178707,4.492795428763211
h101-o60-d30-heterogeneous-fast,-1,0.0113137085,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,16cec123ea8f9bd837ab1ba452d8520ba24aafd99141ea4839b104f0829a842f,False,False,1,TPOT only,1,16,0.0625,0.0,1.98604728960443
h101-o60-d30-heterogeneous-fast,-1,3.756048561,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,18704ea671fd1ddd25c9d540397ae6f9766c7ef3a172c05fc2309e593a95867b,False,False,1,TPOT only,16,16,1.0,0.0,4.306665132000276
h101-o60-d30-heterogeneous-fast,0,3.756048561,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,18bd4bd831843e3df25f7db76756c3b06eedf3310320930d8fd624526e32ff0e,False,False,1,TPOT only,16,16,1.0,0.0,4.303876300479951
h101-o60-d30-heterogeneous-fast,0,0.256,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,18e455231eb156cd36e23be32f74fdf9df90eca929612c17510c9d035daddee8,False,False,1,TPOT only,15,16,0.9375,0.0,4.251193657603027
h101-o60-d30-heterogeneous-fast,2,0.0134543426,stage4_new,ok,TTFT5.2_TPOT0.3,raw,1901a646422e56585b5e4f35d81344564fcd42f7325899f25f4c34c9ed6a0e10,False,False,1,TPOT only,2,16,0.125,0.0,2.0965446776115915
h101-o60-d30-heterogeneous-fast,-2,0.0269086853,stage4_new,ok,TTFT5.2_TPOT0.3,raw,1b724b84cba0a1e9b4e42a7dae24caadc9698d2bffeb60f19e8cc533891549d9,False,False,1,TPOT only,3,16,0.1875,0.0,2.1040874900268864
h101-o60-d30-heterogeneous-fast,1,2.048,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,1bf8f838480df23066d76022f69af2800fc2acb80151d2a708e4011e1c08d335,False,False,1,TPOT only,16,16,1.0,0.0,3.106322731863953
h101-o60-d30-heterogeneous-fast,1,11.3369897531,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,1c71b28542cb1a3c54ef33d19685c551a4caebf3055bfabed4ef65c071adf79e,False,False,1,TPOT only,16,16,1.0,0.0,4.273995633852815
h101-o60-d30-heterogeneous-fast,0,0.0110712791,stage4_new,ok,TTFT5.2_TPOT0.3,raw,1c747f7b004ba898161b04d81430498dd4a2032dd77f47e933c739041f145664,False,False,1,TPOT only,1,16,0.0625,0.0,2.0417396052597088
