group,regime,variant,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores,evaluator_right_censored,evaluator_nonmonotone,selected_changed_from_nominal,new_decision_error
h101-o60-d30-heterogeneous-fast,prefill,decode_minus20,1,"[1,2]",[0],2,1.3542156285999987,0.8973545375000139,False,False,0.0,1.3542156285999987,"{""-2"":3.8382953147,""-1"":3.8382953147,""0"":3.8382953147,""1"":4.096,""2"":4.096}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",False,False,True,False
h101-o60-d30-heterogeneous-fast,prefill,decode_minus5,1,"[1,2]",[0],2,1.3542156285999987,0.8973545375000139,False,False,0.0,1.3542156285999987,"{""-2"":3.8382953147,""-1"":3.8382953147,""0"":3.8382953147,""1"":4.096,""2"":4.096}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",False,False,True,False
h101-o60-d30-heterogeneous-fast,prefill,l4x2_minus10,0,"[-1,0,1,2]",[0],1,0.0,1.0,True,False,0.7071067811865475,1.3542156285999987,"{""-2"":4.2773454128,""-1"":4.466719673,""0"":4.466719673,""1"":4.466719673,""2"":4.466719673}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",False,False,True,False
h101-o60-d30-heterogeneous-fast,prefill,nominal,2,[2],[0],4,2.7970713581,0.7879904225485477,False,False,0.22360679774997896,1.3542156285999987,"{""-2"":3.0907687477,""-1"":3.8382953147,""0"":3.8382953147,""1"":3.8382953147,""2"":4.096}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",False,False,False,False
h101-o60-d30-heterogeneous-fast,prefill,prefill_minus10,2,[2],[0],4,2.7970713581,0.7879904225485477,False,False,-0.35355339059327373,1.3542156285999987,"{""-2"":4.466719673,""-1"":4.466719673,""0"":4.466719673,""1"":4.466719673,""2"":4.8709923431}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",False,False,False,False
h101-o60-d30-heterogeneous-fast,prefill,prefill_minus20,2,[2],[0],4,2.7970713581,0.7879904225485477,False,False,-0.35355339059327373,1.3542156285999987,"{""-2"":4.8709923431,""-1"":4.8709923431,""0"":4.8709923431,""1"":4.8709923431,""2"":5.7926187515}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",False,False,False,False
h101-o60-d30-heterogeneous-fast,prefill,prefill_minus5,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,1.3542156285999987,"{""-2"":4.466719673,""-1"":4.466719673,""0"":4.466719673,""1"":4.466719673,""2"":4.466719673}","{""-2"":9.5332340431,""-1"":11.0940614405,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",False,False,True,False
h102-o300-d120-heterogeneous-slow,decode,both_minus10,0,"[-2,-1,0]",[-2],3,0.00035419029999999956,0.9576032760469917,False,False,0.8944271909999159,0.00017901310000000004,"{""-2"":0.0087240619,""-1"":0.0087240619,""0"":0.0087240619,""1"":0.0085371232,""2"":0.0083541903}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,True,True
h102-o300-d120-heterogeneous-slow,decode,both_minus20,0,"[-2,-1,0,1,2]",[-2],3,0.00035419029999999956,0.9576032760469917,False,False,,0.00017901310000000004,"{""-2"":0.0095136569,""-1"":0.0095136569,""0"":0.0095136569,""1"":0.0095136569,""2"":0.0095136569}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,True,True
h102-o300-d120-heterogeneous-slow,decode,both_minus5,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-2"":0.0087240619,""-1"":0.0085371232,""0"":0.0083541903,""1"":0.0081751772,""2"":0.008}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h102-o300-d120-heterogeneous-slow,decode,decode_minus10,0,"[-2,-1,0]",[-2],3,0.00035419029999999956,0.9576032760469917,False,False,0.8944271909999159,0.00017901310000000004,"{""-2"":0.0087240619,""-1"":0.0087240619,""0"":0.0087240619,""1"":0.0085371232,""2"":0.0083541903}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,True,True
h102-o300-d120-heterogeneous-slow,decode,decode_minus20,0,"[-2,-1,0,1]",[-2],3,0.00035419029999999956,0.9576032760469917,False,False,0.7071067811865475,0.00017901310000000004,"{""-2"":0.0095136569,""-1"":0.0095136569,""0"":0.0095136569,""1"":0.0095136569,""2"":0.0087240619}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,True,True
h102-o300-d120-heterogeneous-slow,decode,decode_minus5,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-2"":0.0087240619,""-1"":0.0085371232,""0"":0.0083541903,""1"":0.0081751772,""2"":0.008}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h102-o300-d120-heterogeneous-slow,decode,l4x2_minus10,-1,"[-2,-1]",[-2],2,0.00017901310000000004,0.978572058623084,False,False,0.9746794344808964,0.00017901310000000004,"{""-2"":0.0087240619,""-1"":0.0087240619,""0"":0.0085371232,""1"":0.0083541903,""2"":0.0081751772}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,True,True
h102-o300-d120-heterogeneous-slow,decode,nominal,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h102-o300-d120-heterogeneous-slow,decode,prefill_minus10,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0078285765,""2"":0.0074966705}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h102-o300-d120-heterogeneous-slow,decode,prefill_minus20,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-2"":0.0085371232,""-1"":0.0081751772,""0"":0.008,""1"":0.0078285765,""2"":0.0074966705}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h102-o300-d120-heterogeneous-slow,decode,prefill_minus5,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}","{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
