group,regime,kind,role,bias,policy,candidate_count,grid_points,chosen_shift,reported_intensity,output_reference_safe,selected_optimistic,validated_usable_intensity,reference_oracle_intensity,normalized_usable_quality,reference_regret,abstention,reference_calls,evaluator_calls,evaluator_runtime_s,replayed_reference_runtime_s,estimated_planning_runtime_s,query_trace,grid_optimistic,grid_conservative,grid_denominator
h101-o60-d30-heterogeneous-fast,prefill,heterogeneous,primary,0.9,capacity_derating_20pct,5,51,2,3.8382953147,True,False,3.8382953147,13.1931367994,0.2909312146960046,9.3548414847,False,0,255,5.24601049994817,0.0,5.24601049994817,[],0,90,255
h101-o60-d30-heterogeneous-fast,prefill,heterogeneous,primary,0.9,four_scenarios,5,51,0,1.024,True,False,1.024,13.1931367994,0.0776161132541709,12.1691367994,False,0,1020,12.307193400512915,0.0,12.307193400512915,[],0,122,255
h101-o60-d30-heterogeneous-fast,prefill,heterogeneous,primary,0.9,selected_point_reference,5,51,2,4.8709923431,True,False,4.8709923431,13.1931367994,0.36920653648657115,8.322144456299998,False,1,255,5.24601049994817,11.928094600036275,17.174105099984445,"[{""shift"":2,""intensity"":4.8709923431,""safe"":true}]",,,
h101-o60-d30-heterogeneous-fast,prefill,heterogeneous,primary,0.9,selected_partition_boundary_reference,5,51,2,9.3289564959,True,False,9.3289564959,13.1931367994,0.7071067811806715,3.8641803034999995,False,5,255,5.24601049994817,55.1208635000512,60.36687399999937,"[{""shift"":2,""intensity"":4.8709923431,""safe"":true},{""shift"":2,""intensity"":5.7926187515,""safe"":true},{""shift"":2,""intensity"":8.192,""safe"":true},{""shift"":2,""intensity"":8.933439346,""safe"":true},{""shift"":2,""intensity"":9.3289564959,""safe"":true}]",,,
h101-o60-d30-a100-fast,decode,a100,primary,1.0,evaluator_only,1,20,0,0.0190273138,True,False,0.0190273138,0.0190273138,1.0,0.0,False,0,20,0.06064450019039214,0.0,0.06064450019039214,[],0,0,20
h101-o60-d30-a100-fast,decode,a100,primary,1.0,compute_margin_25pct,1,20,0,0.004,True,False,0.004,0.0190273138,0.2102241042558514,0.0150273138,False,0,20,0.04650929995113984,0.0,0.04650929995113984,[],0,2,20
h101-o60-d30-a100-fast,decode,a100,primary,1.0,capacity_derating_20pct,1,20,0,0.004,True,False,0.004,0.0190273138,0.2102241042558514,0.0150273138,False,0,20,0.06064450019039214,0.0,0.06064450019039214,[],0,2,20
h101-o60-d30-a100-fast,decode,a100,primary,1.0,four_scenarios,1,20,0,0.004,True,False,0.004,0.0190273138,0.2102241042558514,0.0150273138,False,0,80,0.20463729999028146,0.0,0.20463729999028146,[],0,2,20
h101-o60-d30-a100-fast,decode,a100,primary,1.0,selected_point_reference,1,20,0,0.0190273138,True,False,0.0190273138,0.0190273138,1.0,0.0,False,1,20,0.06064450019039214,13.722560000023805,13.783204500214197,"[{""shift"":0,""intensity"":0.0190273138,""safe"":true}]",,,
h101-o60-d30-a100-fast,decode,a100,primary,1.0,selected_partition_boundary_reference,1,20,0,0.0190273138,True,False,0.0190273138,0.0190273138,1.0,0.0,False,5,20,0.06064450019039214,60.65199520002352,60.71263970021391,"[{""shift"":0,""intensity"":0.0190273138,""safe"":true},{""shift"":0,""intensity"":0.0194439577,""safe"":false},{""shift"":0,""intensity"":0.016,""safe"":true},{""shift"":0,""intensity"":0.019869725,""safe"":false},{""shift"":0,""intensity"":0.004,""safe"":true}]",,,
h101-o60-d30-a100-fast,decode,a100,primary,0.9,evaluator_only,1,20,0,0.0207494329,False,True,0.0,0.0190273138,0.0,0.0190273138,False,0,20,0.07716809993144125,0.0,0.07716809993144125,[],3,0,20
h101-o60-d30-a100-fast,decode,a100,primary,0.9,compute_margin_25pct,1,20,0,0.016,True,False,0.016,0.0190273138,0.8408964170234056,0.0030273138000000005,False,0,20,0.05014159996062517,0.0,0.05014159996062517,[],0,1,20
h101-o60-d30-a100-fast,decode,a100,primary,0.9,capacity_derating_20pct,1,20,0,0.016,True,False,0.016,0.0190273138,0.8408964170234056,0.0030273138000000005,False,0,20,0.07716809993144125,0.0,0.07716809993144125,[],0,1,20
h101-o60-d30-a100-fast,decode,a100,primary,0.9,four_scenarios,1,20,0,0.016,True,False,0.016,0.0190273138,0.8408964170234056,0.0030273138000000005,False,0,80,0.27619319985387847,0.0,0.27619319985387847,[],0,1,20
h101-o60-d30-a100-fast,decode,a100,primary,0.9,selected_point_reference,1,20,,,,False,0.0,0.0190273138,0.0,0.0190273138,True,1,20,0.07716809993144125,12.397070000006352,12.474238099937793,"[{""shift"":0,""intensity"":0.0207494329,""safe"":false}]",,,
h101-o60-d30-a100-fast,decode,a100,primary,0.9,selected_partition_boundary_reference,1,20,0,0.0190273138,True,False,0.0190273138,0.0190273138,1.0,0.0,False,5,20,0.07716809993144125,62.64353980001761,62.72070789994905,"[{""shift"":0,""intensity"":0.0207494329,""safe"":false},{""shift"":0,""intensity"":0.019869725,""safe"":false},{""shift"":0,""intensity"":0.0194439577,""safe"":false},{""shift"":0,""intensity"":0.0190273138,""safe"":true},{""shift"":0,""intensity"":0.022627417,""safe"":false}]",,,
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,1.0,evaluator_only,1,20,0,0.062628612,True,False,0.062628612,0.062628612,1.0,0.0,False,0,20,0.1573021002113819,0.0,0.1573021002113819,[],0,0,20
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,1.0,compute_margin_25pct,1,20,0,0.004,True,False,0.004,0.062628612,0.06386857176397268,0.058628612,False,0,20,0.05567809991771355,0.0,0.05567809991771355,[],0,12,20
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,1.0,capacity_derating_20pct,1,20,0,0.045254834,True,False,0.045254834,0.062628612,0.7225904032489177,0.017373778,False,0,20,0.1573021002113819,0.0,0.1573021002113819,[],0,4,20
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,1.0,four_scenarios,1,20,0,0.004,True,False,0.004,0.062628612,0.06386857176397268,0.058628612,False,0,80,0.4902280001551844,0.0,0.4902280001551844,[],0,12,20
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,1.0,selected_point_reference,1,20,0,0.062628612,True,False,0.062628612,0.062628612,1.0,0.0,False,1,20,0.1573021002113819,12.848056999966502,13.005359100177884,"[{""shift"":0,""intensity"":0.062628612,""safe"":true}]",,,
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,1.0,selected_partition_boundary_reference,1,20,0,0.062628612,True,False,0.062628612,0.062628612,1.0,0.0,False,5,20,0.1573021002113819,59.957360299886204,60.114662400097586,"[{""shift"":0,""intensity"":0.062628612,""safe"":true},{""shift"":0,""intensity"":0.064,""safe"":false},{""shift"":0,""intensity"":0.06128661,""safe"":true},{""shift"":0,""intensity"":0.256,""safe"":false},{""shift"":0,""intensity"":0.0586882588,""safe"":true}]",,,
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,0.9,evaluator_only,1,20,0,0.064,False,True,0.0,0.062628612,0.0,0.062628612,False,0,20,0.18972139985999092,0.0,0.18972139985999092,[],1,0,20
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,0.9,compute_margin_25pct,1,20,0,0.0538173706,True,False,0.0538173706,0.062628612,0.8593096490786032,0.008811241400000003,False,0,20,0.14321660005953163,0.0,0.14321660005953163,[],0,3,20
